ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
lei ning	China:Sichuan Univ, W China Hosp, Natl Chengdu Ctr Safety Evaluat Drugs, Chengdu 610041, Sichuan,Peoples R China. Sichuan University	EXPERIMENTAL EYE RESEARCH	Pharmacokinetics of a long-lasting anti-VEGF fusion protein in rabbit
lei xia	China:Chinese Acad Sci, Lab Clin Visual Sci, Inst Hlth Sci, Shanghai Inst Biol Sci, Shanghai,Peoples R China. Chinese Academy of SciencesShanghai Institutes for Biological Sciences	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Intravitreal Injection of Exendin-4 Analogue Protects Retinal Cells in Early Diabetic Rats
li changgui	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Characteristics of ocular abnormalities in gout patients
li chilai	China:Chinese Univ Hong Kong, Prince Wales Hosp, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong KongPrince of Wales Hospital	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Retrocapsular lens matter in uneventful phacoemulsification: does it really exist?
li chuanyin	China:Shanghai Jiao Tong Univ, Sch Med, Dept Ophthalmol, Peoples Hosp 9, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Enzyme-Induced Vitreolysis Can Alleviate the Progression of Diabetic Retinopathy Through the HIF-1 alpha Pathway
li chuanzhou	China:Wuhan Univ, Coll Life Sci, Wuhan 430072,Peoples R China. Wuhan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Endoplasmic Reticulum Stress in Retinal Vascular Degeneration: Protective Role of Resveratrol
li detang	China:Guangzhou Univ Chinese Med, Affiliated Hosp 1, Dept Pharm, Guangzhou, Guangdong,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Evaluation of Levofloxacin Release Characteristics from a Human Foldable Capsular Vitreous Body In Vitro
li fengqian	China:Second Mil Med Univ, Affiliated Hosp 2, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of intravitreal injection of bevacizumab-chitosan nanoparticles on retina of diabetic rats
li fuzhen	China:Chongqing Med Univ, Dept Ophthalmol, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol,Chongqing Eye Inst, Chongqing 400016,Peoples R China. Chongqing Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	OCULAR MANIFESTATIONS OF SYPHILITIC UVEITIS IN CHINESE PATIENTS
li guoxing	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	BRITISH JOURNAL OF OPHTHALMOLOGY	Characterisation of systemic and ocular drug level of triamcinolone acetonide following a single sub-Tenon injection
li guoxing	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	FURTHER CHARACTERIZATION OF OCULAR SAFETY PROFILE OF COMMERCIALLY AVAILABLE PRESERVED AND PRESERVATIVE-FREE TRIAMCINOLONE ACETONIDE
li haiyan	China:Second Peoples Hosp Shenzhen, Dept Endocrinol, Shenzhen 518035, Guangdong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effects of glycemic control on refraction in diabetic patients
li hong	China:Chengdu Kanghong Biotechnol Co Ltd, Chengdu 610036, Sichuan Provinc,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	Pharmacokinetics of a long-lasting anti-VEGF fusion protein in rabbit
li huaiyang	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Biocompatibility and retinal support of a foldable capsular vitreous body injected with saline or silicone oil implanted in rabbit eyes
li huiping	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	OPHTHALMOLOGY	Risk Factors, Clinical Features, and Outcomes of Recurrent Fungal Keratitis after Corneal Transplantation
li j	China:Nankai Univ, Collage life Sci, Tianjin 300071,Peoples R China. Nankai University	EYE	Ophthalmic manifestations in a Chinese family with familial amyloid polyneuropathy due to a TTR Gly83Arg mutation
li jiakai	China:Shanghai Jiao Tong Univ, Sch Med, Xinhua Hosp, Dept Ophthalmol, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	ACTA OPHTHALMOLOGICA	Early vitreoretinal surgery on vascularly active stage 4 retinopathy of prematurity through the preoperative intravitreal bevacizumab injection
li jiaqing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Outcomes of Vitrectomy for Progressive X-Linked Retinoschisis
li jie	China:Univ Calif San Diego, Jacobs Retina Ctr, Shiley Eye Ctr, Dept Ophthalmol, La Jolla, CA 92093 USA. University of California San DiegoUniversity of California System	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Ocular Pharmacokinetics of Bevacizumab in Vitrectomized Eyes with Silicone Oil Tamponade
li jie	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Different Intravitreal Properties of Three Triamcinolone Formulations and Their Possible Impact on Retina Practice
li jing	China:Shanghai Jiao Tong Univ, Sch Med, Dept Ophthalmol, Xin Hua Hosp, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	MOLECULAR VISION	Comparison of aqueous humor cytokine and chemokine levels in diabetic patients with and without retinopathy
li jing	China:Shanghai Jiao Tong Univ, Sch Med, Dept Ophthalmol, Xin Hua Hosp, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	BRITISH JOURNAL OF OPHTHALMOLOGY	Clinical characteristics and treatment of 22 eyes of morning glory syndrome associated with persistent hyperplastic primary vitreous
li jinyang	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	CORNEA	Securing the Anterior Chamber in Penetrating Keratoplasty: An Innovative Surgical Technique
li li	China:Univ Hong Kong, Li Ka Shing Fac Med, Inst Eye, Pokfulam, Hong Kong,Peoples R China. University of Hong Kong	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Avoiding retinal slippage during macular translocation surgery with 360 retinotomy
li li	China:Univ Hong Kong, Li Ka Shing Fac Med, Inst Eye, Pokfulam, Hong Kong,Peoples R China. University of Hong Kong	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Double peel using triamcinolone acetonide and trypan blue in the management of myopic macular hole with retinal detachment: a case-control study
li lei	China:Nanjing Med Univ, Dept Ophthalmol, Affiliated Hosp 1, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Osteopontin expression in vitreous and proliferative retinal membranes of patients with proliferative vitreous retinopathy
li mei	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	CLASSIFICATION OF FULL-THICKNESS TRAUMATIC MACULAR HOLES BY OPTICAL COHERENCE TOMOGRAPHY
li na	China:Tianjin Med Univ, Ctr Eye, Tianjin 300070,Peoples R China. Tianjin Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Effects of bone-marrow mesenchymal stem cells transplanted into vitreous cavity of rat injured by ischemia/reperfusion
li qi	China:Fourth Mil Med Univ, Tangdu Hosp, Dept Ophthalmol, Xian 710038,Peoples R China. Fourth Military Medical University	CURRENT EYE RESEARCH	Oxidative Responses Induced by Pharmacologic Vitreolysis and/or Long-term Hyperoxia Treatment in Rat Lenses
li qian	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Peoples Hosp 1, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Inhibition of Pathologic Retinal Neovascularization by a Small Peptide Derived from Human Apolipoprotein(a)
li shiqiang	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	An evaluation of OPTC and EPYC as candidate genes for high myopia
li shiqing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Outcomes of Vitrectomy for Progressive X-Linked Retinoschisis
li shunping	China:Shandong Univ, Ctr Hlth Management & Policy, Jinan 250012, Shandong,Peoples R China. Shandong University	OPTOMETRY AND VISION SCIENCE	Utility Values among Myopic Patients in Mainland China
li sizhen	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing,Peoples R China. Capital Medical University	BMC OPHTHALMOLOGY	Prevalence and risk factors of posterior vitreous detachment in a Chinese adult population: the Handan eye study
li suxia	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	OPHTHALMOLOGY	Risk Factors, Clinical Features, and Outcomes of Recurrent Fungal Keratitis after Corneal Transplantation
li tao	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Affiliated Peoples Hosp 1, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Correlation between Ficolin-3 and Vascular Endothelial Growth Factor-to-Pigment Epithelium-Derived Factor Ratio in the Vitreous of Eyes with Proliferative Diabetic Retinopathy
li tao	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Outcomes of Vitrectomy for Progressive X-Linked Retinoschisis
li w	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	EYE	Assessment of the innate and adaptive immune system in proliferative vitreoretinopathy
li w	China:Univ Massachusetts, Med Sch Worcester, Dept Ophthalmol, Worcester, MA 01605 USA. University of Massachusetts SystemUniversity of Massachusetts Worcester	EYE	Vitreous surgery for macular hole-related retinal detachment after phacoemulsification cataract extraction: 10-year retrospective review
li weifan	China:Jinan 2 Hosp, Dept Anesthesiol, Jinan 250001, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	General anesthesia versus local anesthesia for penetrating keratoplasty: a prospective study
li weiguang	China:China Pharmaceut Univ, Dept Marine Pharm, Coll Life Sci & Technol, Nanjing 210009, Jiangsu,Peoples R China. China Pharmaceutical University	CURRENT EYE RESEARCH	Pharmacokinetics of HM-3 After Intravitreal Administration in Mice
li weiye	China:Chinese Acad Med Sci, Peking Union Med Coll, Dept Ophthalmol, Beijing 100037,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OPHTHALMIC SURGERY LASERS & IMAGING	Effects of Intravitreal Erythropoietin Therapy for Patients With Chronic and Progressive Diabetic Macular Edema
li weiye	China:Tongji Univ, Sch Med, Dept Ophthalmol, Shanghai Peoples Hosp10, Shanghai 200092,Peoples R China. Tongji University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Subretinal Delivery of AAV2-Mediated Human Erythropoietin Gene Is Protective and Safe in Experimental Diabetic Retinopathy
li wenglin	China:Shenzhen Childrens Hosp, Dept Ophthalmol, Shenzhen 518026, Guangdong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Transthyretin Arg-83 mutation in vitreous amyloidosis
li wensheng	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003,Peoples R China. Wenzhou Medical University	MOLECULAR VISION	Gene therapy following subretinal AAV5 vector delivery is not affected by a previous intravitreal AAV5 vector administration in the partner eye
li wensheng	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003,Peoples R China. Wenzhou Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Anterior segment complications after phacoemulsification combined vitrectomy and foldable intraocular lens implantation
li wensheng	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003,Peoples R China. Wenzhou Medical University	ACTA OPHTHALMOLOGICA	Longterm results after phacovitrectomy and foldable intraocular lens implantation
li xw	China:Capital Med Univ, Beijing Tong Ren Hosp, Ophthalmol Ctr, Beijing 100730,Peoples R China. Capital Medical University	EYE	Vitreous surgery with direct central retinal artery massage for central retinal artery occlusion
li xia	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003,Peoples R China. Wenzhou Medical University	MOLECULAR VISION	Gene therapy following subretinal AAV5 vector delivery is not affected by a previous intravitreal AAV5 vector administration in the partner eye
li xiaorong	China:Tianjin Med Univ Eye Ctr, Tianjin 300070,Peoples R China. Tianjin Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	DISPOSABLE SUTURELESS SILICONE CONTACT LENS RING FOR USE WITH A SELF-SEALING CANNULA SYSTEM DURING VITRECTOMY
li xiaorong	China:Tianjin Med Univ Eye Ctr, Tianjin 300070,Peoples R China. Tianjin Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Effects of bone-marrow mesenchymal stem cells transplanted into vitreous cavity of rat injured by ischemia/reperfusion
li xiaoxin	China:Beijing Univ, Beijing 100871,Peoples R China. Peking University	ACTA OPHTHALMOLOGICA	Heavy silicone oil versus standard silicone oil in as vitreous tamponade in inferior PVR (HSO Study): interim analysis
li xiaoxin	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Beijing 100044,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effect of Robo1 on Retinal Pigment Epithelial Cells and Experimental Proliferative Vitreoretinopathy
li xiaoxin	China:Peking Univ, Dept Ophthalmol, Key Lab Vis Loss & Restorat, Minist Educ,Peoples Hosp, Beijing 100044,Peoples R China. Peking University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Macular retinoschisis associated with normal tension glaucoma
li xiaoxin	China:Peking Univ, Dept Ophthalmol, Key Lab Vis Loss & Restorat, Minist Educ,Peoples Hosp, Beijing 100044,Peoples R China. Peking University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Multiple intravitreal injections of ganciclovir for cytomegalovirus retinitis after stem-cell transplantation
li xiaoxin	China:Peking Univ, Dept Ophthalmol, Key Lab Vis Loss & Restorat, Minist Educ,Peoples Hosp, Beijing 100044,Peoples R China. Peking University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Anti-angiogenic effect of KH902 on retinal neovascularization
li xiaoxin	China:Peking Univ, Dept Ophthalmol, Key Lab Vis Loss & Restorat, Minist Educ,Peoples Hosp, Beijing 100044,Peoples R China. Peking University	MOLECULAR VISION	Semaphorin 3A blocks the formation of pathologic choroidal neovascularization induced by transforming growth factor beta
li xiaoxin	China:Peking Univ, Dept Ophthalmol, Key Lab Vis Loss & Restorat, Minist Educ,Peoples Hosp, Beijing 100044,Peoples R China. Peking University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Antiangiogenesis Effects of Endostatin in Retinal Neovascularization
li xiaoxin	China:Peking Univ, Dept Ophthalmol, Key Lab Vis Loss & Restorat, Minist Educ,Peoples Hosp, Beijing 100044,Peoples R China. Peking University	MOLECULAR VISION	Inhibition of pathological retinal neovascularization by semaphorin 3A
li yan	China:Cent S Univ, Xiangya Hosp, Dept Ophthalmol, Changsha 410008, Hunan,Peoples R China. Central South University	CURRENT EYE RESEARCH	Suppression of Retinal Neovascularization by shRNA Targeting HIF-1 alpha
li yanlong	China:Xian Aier Ancient City Eye Hosp, Xian, Shaanxi,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	TREATMENT OF RETINAL DETACHMENT SECONDARY TO MACULAR HOLE IN HIGHLY MYOPIC EYES Pars Plana Vitrectomy with Internal Limiting Membrane Peel and Silicone Oil Tamponade
li yibin	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Five-Year Incidence of Age-related Macular Degeneration The Beijing Eye Study
li ying	China:Chinese Acad Sci, Inst Biophys, State Key Lab Brain & Cognit Sci, Beijing 100101,Peoples R China. Chinese Academy of Sciences	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Long-Term Rescue of Rat Retinal Ganglion Cells and Visual Function by AAV-Mediated BDNF Expression after Acute Elevation of Intraocular Pressure
li ying	China:Peking Univ, Hosp 3, Ctr Eye, Beijing 100191,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	EphA2 Targeted Doxorubicin Stealth Liposomes as a Therapy System for Choroidal Neovascularization in Rats
li yingjie	China:Peking Univ Beijing Canc Hosp Inst, Dept Hepatobiliary Surg, Beijing,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effect of Robo1 on Retinal Pigment Epithelial Cells and Experimental Proliferative Vitreoretinopathy
li yingmei	China:Jinan 2 Hosp, Dept Ophthalmol, Jinan 250001, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	General anesthesia versus local anesthesia for penetrating keratoplasty: a prospective study
li yingzi	China:Wenzhou Med Coll, Eye Hosp, Wenzhou 325003,Peoples R China. Wenzhou Medical University	OPHTHALMOLOGICA	Clinical characteristics of acute zonal occult outer retinopathy in Chinese patients
li yonghao	China:Sun Yat Sen Univ, Key Lab Ophthalmol, Minist Educ, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Transthyretin Arg-83 mutation in vitreous amyloidosis
li yu	China:Xi An Jiao Tong Univ, Affiliated Guangren Hosp, Shaanxi Ophthalm Med Ctr, Dept Ophthalmol,Sch Med,Xian Hosp 4, Xian 710049,Peoples R China. Xian Jiaotong University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	VITRECTOMY TREATMENT OF RETINAL DETACHMENTS RELATED TO CHOROIDAL COLOBOMA INVOLVING THE DISK
li yue	China:Chengdu Kanghong Biotechnol Co Ltd, Chengdu 610036, Sichuan Provinc,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	Pharmacokinetics of a long-lasting anti-VEGF fusion protein in rabbit
li yuehua	China:Cent S Univ, Dept Ophthalmol, Xiang Ya Hosp 2, Changsha 410011, Hunan,Peoples R China. Central South University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Protective effects of human umbilical cord blood stem cell intravitreal transplantation against optic nerve injury in rats
li yujun	China:Henan Eye Hosp, Henan Eye Inst, Dept Ophthalmol, Zhengzhou 450003,Peoples R China. 	JOURNAL OF NEURO-OPHTHALMOLOGY	Vitreous Seeding From a Large Optic Disc Melanocytoma
li yuli	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	BRITISH JOURNAL OF OPHTHALMOLOGY	Characterisation of systemic and ocular drug level of triamcinolone acetonide following a single sub-Tenon injection
li yuli	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	FURTHER CHARACTERIZATION OF OCULAR SAFETY PROFILE OF COMMERCIALLY AVAILABLE PRESERVED AND PRESERVATIVE-FREE TRIAMCINOLONE ACETONIDE
li yunqin	China:Second Peoples Hosp Yunnan Prov, Dept Ophthalmol, Kunming 650021, Yunnan Province,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Protective effects of human umbilical cord blood stem cell intravitreal transplantation against optic nerve injury in rats
li yuye	China:Sun Yat Sen Univ, Dept Microbiol, Zhongshan Sch Med, Inst Human Virol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A Preliminary Study to Treat Severe Endophthalmitis via a Foldable Capsular Vitreous Body with Sustained Levofloxacin Release in Rabbits
li zhi	China:Wuhan Univ, Ctr Eye, Renmin Hosp, Wuhan 430060,Peoples R China. Wuhan University	MOLECULAR VISION	Overexpression of 15-lipoxygenase-1 in oxygen-induced ischemic retinopathy inhibits retinal neovascularization via downregulation of vascular endothelial growth factor-A expression
li zhijian	China:Harbin Med Coll, Affiliated Hosp 1, Dept Ophthalmol, Harbin 150001, Heilongjiang Pr,Peoples R China. Harbin Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Effect of menthol on ocular drug delivery
li zhijian	China:Harbin Med Coll, Affiliated Hosp 1, Dept Ophthalmol, Harbin 150001, Heilongjiang Pr,Peoples R China. Harbin Medical University	CURRENT EYE RESEARCH	Effect of Borneol on the Distribution of Danshensu to the Eye in Rabbit via Oral Administration
lian yan	China:Hosp Eye, Wenzhou Med Coll, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	OPHTHALMOLOGY	Sutureless Vitrectomy Incision Architecture in the Immediate Postoperative Period Evaluated In Vivo Using Optical Coherence Tomography
liang jingli	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Comparison of clinical outcomes between iris-fixated anterior chamber intraocular lenses and scleral-fixated posterior chamber intraocular lenses in Marfan syndrome with lens subluxation
liang lifang	China:Southern Med Univ, Zhujiang Hosp, Dept Ophthalmol, Guangzhou 510282, Guangdong,Peoples R China. Southern Medical University - China	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Spontaneous regression if retinopathy of prematurity: incidence and predictive factors
liang shuting	China:Peking Univ, Peoples Hosp, Dept Ophthalmol,Key Lab Vis Loss & Restorat,Minis, Key Lab Diag & Treatment Retinal & Choroid Dis, Beijing 100044,Peoples R China. Peking University	MOLECULAR VISION	Semaphorin 3A blocks the formation of pathologic choroidal neovascularization induced by transforming growth factor beta
liang y	China:Univ Dusseldorf, Dept Ophthalmol, D-40225 Dusseldorf, Germany. Heinrich Heine University Dusseldorf	BRITISH JOURNAL OF OPHTHALMOLOGY	A cleaning solution for silicone intraocular lenses: "sticky silicone oil''
liang yuanbo	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Prevalence and Associations of Epiretinal Membranes in a Rural Chinese Adult Population: The Handan Eye Study
liang yuanbo	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	BMC OPHTHALMOLOGY	Prevalence and risk factors of posterior vitreous detachment in a Chinese adult population: the Handan eye study
liang zhen	China:Second Peoples Hosp Shenzhen, Dept Endocrinol, Shenzhen 518035, Guangdong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effects of glycemic control on refraction in diabetic patients
liao hailan	China:Guangdong Med Coll, Affiliated Hosp, Dept Ophthalmol, Zhanjiang 524001, Guangdong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Expression of subretinal fluid hepatocyte growth factor and proliferative vitreoretinopathy
lin bin	China:Wenzhou Med Coll, Eye Hosp, Wenzhou 325003,Peoples R China. Wenzhou Medical University	OPHTHALMOLOGICA	Clinical characteristics of acute zonal occult outer retinopathy in Chinese patients
lin jianwei	China:Shantou Univ, Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. Shantou University	MOLECULAR VISION	Endophenotyping reveals differential phenotype-genotype correlations between myopia-associated polymorphisms and eye biometric parameters
lin jianxian	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Biocompatibility and retinal support of a foldable capsular vitreous body injected with saline or silicone oil implanted in rabbit eyes
lin jianxian	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A Preliminary Study to Treat Severe Endophthalmitis via a Foldable Capsular Vitreous Body with Sustained Levofloxacin Release in Rabbits
lin jijian	China:Zhejiang Univ, Sch Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Co-existent choroidal neovascular membrane and macular hole in pathologic myopia: a long follow-up clinical outcome and literature review
lin jing	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Characteristics of ocular abnormalities in gout patients
lin wenjie	China:Nanao People Hosp, Shantou,Peoples R China. 	MOLECULAR VISION	Endophenotyping reveals differential phenotype-genotype correlations between myopia-associated polymorphisms and eye biometric parameters
lin x	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	EYE	Evaluation of supporting role of a foldable capsular vitreous body with magnetic resonance imaging in the treatment of severe retinal detachment in human eyes
lin x	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PRELIMINARY EFFICACY AND SAFETY OF A SILICONE OIL-FILLED FOLDABLE CAPSULAR VITREOUS BODY IN THE TREATMENT OF SEVERE RETINAL DETACHMENT
