abdulhalim sancar	China:Wuhan Univ, Dept Ophthalmol, Zhongnan Hosp, Wuhan 430072, Hubei,Peoples R China. Wuhan University	PLOS ONE	Anti-VEGF Agents with or without Antimetabolites in Trabeculectomy for Glaucoma: A Meta-Analysis
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMIC EPIDEMIOLOGY	Design and Methodology of a Randomized Controlled Trial of Laser Iridotomy for the Prevention of Angle Closure in Southern China: The Zhongshan Angle Closure Prevention Trial
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	The Heritability and Sibling Risk of Angle Closure in Asians
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Angle closure and angle-closure glaucoma: what we are doing now and what we will be doing in the future
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Comparison of Lens Thickness Measurements Using the Anterior Segment Optical Coherence Tomography and A-scan Ultrasonography
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Determinants of Lens Vault and Association With Narrow Angles in Patients From Singapore
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	ARCHIVES OF OPHTHALMOLOGY	Anterior Chamber Depth, Iridocorneal Angle Width, and Intraocular Pressure Changes After Phacoemulsification Narrow vs Open Iridocorneal Angles
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	ARCHIVES OF OPHTHALMOLOGY	Association of Narrow Angles With Anterior Chamber Area and Volume Measured With Anterior-Segment Optical Coherence Tomography
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Differences in iris structural measurements among American Caucasians, American Chinese and mainland Chinese
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Increased lens vault as a risk factor for angle closure: confirmation in a Japanese population
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Distribution of Ocular Perfusion Pressure and Its Relationship with Open-Angle Glaucoma: The Singapore Malay Eye Study
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Relationship between Intraocular Pressure and Angle Configuration: An Anterior Segment OCT Study
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Variations in Iris Volume with Physiologic Mydriasis in Subtypes of Primary Angle Closure Glaucoma
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Assessment of Iris Surface Features and Their Relationship with Iris Thickness in Asian Eyes
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Classification Algorithms Based on Anterior Segment Optical Coherence Tomography Measurements for Detection of Angle Closure
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Determinants of Anterior Chamber Depth: The Singapore Chinese Eye Study
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Appositional Closure Identified by Ultrasound Biomicroscopy in Population-Based Primary Angle-Closure Glaucoma Suspects: The Liwan Eye Study
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Distribution and Heritability of Iris Thickness and Pupil Size in Chinese: The Guangzhou Twin Eye Study
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Heritability of optic disc and cup measured by the Heidelberg retinal tomography in Chinese: The Guangzhou twin eye study
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Heritability of the iridotrabecular angle width measured by optical coherence tomography in Chinese children: The Guangzhou twin eye study
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Anterior chamber depth in elderly Chinese
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	ARCHIVES OF OPHTHALMOLOGY	Attitudes of Physicians, Patients, and Village Health Workers Toward Glaucoma and Diabetic Retinopathy in Rural China A Focus Group Study
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	AMERICAN JOURNAL OF OPHTHALMOLOGY	The Value of Tests in the Diagnosis and Management of Glaucoma
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	BRITISH JOURNAL OF OPHTHALMOLOGY	Single versus sequential testing with scanning peripheral anterior chamber depth analyser, IOLMaster and anterior segment optical coherence tomography for the detection of narrow angles
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Development of a Score and Probability Estimate for Detecting Angle Closure Based on Anterior Segment Optical Coherence Tomography
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	BRITISH JOURNAL OF OPHTHALMOLOGY	Prevalence and characteristics of plateau iris configuration among American Caucasian, American Chinese and mainland Chinese subjects
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Central corneal thickness and related factors in an elderly American Chinese population
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Comparison of anterior ocular segment biometry features and related factors among American Caucasians, American Chinese and mainland Chinese
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Visual outcomes of cataract surgery performed by supervised novice surgeons during training in rural China
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CURRENT EYE RESEARCH	Anatomic Predictors for Anterior Chamber Angle Opening After Laser Peripheral Iridotomy in Narrow Angle Eyes
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CURRENT EYE RESEARCH	Dark-light Change of Iris Parameters and Related Factors Among American Caucasians, American Chinese, and Mainland Chinese
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Anterior Segment Optical Coherence Tomography Parameters in Subtypes of Primary Angle Closure
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Associations of Iris Structural Measurements in a Chinese Population: The Singapore Chinese Eye Study
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Comparison of Factors Associated With Occludable Angle Between American Caucasians and Ethnic Chinese
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Comparison of Iris Insertion Classification Among American Caucasian and Ethnic Chinese Using Ultrasound Biomicroscopy
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Differences in Baseline Dark and the Dark-to-Light Changes in Anterior Chamber Angle Parameters in Whites and Ethnic Chinese
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effect of Ginkgo Biloba on Visual Field and Contrast Sensitivity in Chinese Patients With Normal Tension Glaucoma: A Randomized, Crossover Clinical Trial
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Ethnic Difference of the Anterior Chamber Area and Volume and Its Association with Angle Width
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Relationship of Retinal Vascular Caliber with Retinal Nerve Fiber Layer Thickness: The Singapore Malay Eye Study
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Association of biometric factors with anterior chamber angle widening and intraocular pressure reduction after uneventful phacoemulsification for cataract
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF GLAUCOMA	Comparison of Different Modes in Optical Coherence Tomography and Ultrasound Biomicroscopy in Anterior Chamber Angle Assessment
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF GLAUCOMA	Differences in Iris Thickness Among African Americans, Caucasian Americans, Hispanic Americans, Chinese Americans, and Filipino-Americans
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF GLAUCOMA	Histologic changes of the iris in the development of angle closure in Chinese eyes
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMIC EPIDEMIOLOGY	Associations between Narrow Angle and Adult Anthropometry: The Liwan Eye Study
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Determinants of Angle Width in Chinese Singaporeans
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Lens Vault, Thickness, and Position in Chinese Subjects with Angle Closure
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Longitudinal Changes of Angle Configuration in Primary Angle-Closure Suspects The Zhongshan Angle-Closure Prevention Trial
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Quantitative Iris Parameters and Association with Narrow Angles
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Subgrouping of Primary Angle-Closure Suspects Based on Anterior Segment Optical Coherence Tomography Parameters
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	SURVEY OF OPHTHALMOLOGY	Anterior chamber angle assessment techniques
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Novel Association of Smaller Anterior Chamber Width with Angle Closure in Singaporeans
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Visual Symptoms and Retinal Straylight after Laser Peripheral Iridotomy
he m	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Screening and Managing Eye Disease in 2010: An Asian Perspective
he m	China:Sun Yet Sun Univ, Zhongshan Ophthalm Ctr, Guangzhou, Guangdong,Peoples R China. 	EYE	Myopia, an underrated global challenge to vision: where the current data takes us on myopia control
he m	China:Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Quantitative analysis of anterior segment optical coherence tomography images: the Zhongshan Angle Assessment Program
he mingguang	China:Sun Yat Sen Univ, Sch Publ Hlth, Guangzhou, Guangdong,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical CollegeSun Yat Sen UniversityUnion School of Public Health - PUMC	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Heritability of anterior chamber depth as an intermediate phenotype of angle-closure in Chinese: The Guangzhou twin eye study
he mingguang	China:Univ Calif San Francisco, Dept Ophthalmol, San Francisco, CA 94143 USA. University of California San FranciscoUniversity of California System	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Comparison of anterior segment morphology following prophylactic laser peripheral iridotomy in Caucasian and Chinese eyes
he mingguang	China:Univ Calif San Francisco, Dept Ophthalmol, San Francisco, CA 94143 USA. University of California San FranciscoUniversity of California System	OPHTHALMOLOGY	Association between Baseline Iris Thickness and Prophylactic Laser Peripheral Iridotomy Outcomes in Primary Angle-Closure Suspects
he mingguang	China:Zhongshan Ophthalm Ctr, Dept Prevent Ophthalmol, Guangzhou, Guangdong,Peoples R China. 	ARCHIVES OF OPHTHALMOLOGY	Diagnostic Performance of Anterior Chamber Angle Measurements for Detecting Eyes With Narrow Angles An Anterior Segment OCT Study
he mingguang	China:Zhongshan Ophthalm Ctr, Guangzhou, Guangdong,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Biometry of the Cornea and Anterior Chamber in Chinese Eyes: An Anterior Segment Optical Coherence Tomography Study
he mingguang	China:Zhongshan Ophthalm Ctr, Guangzhou, Guangdong,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Variation of Angle Parameters in Asians: An Anterior Segment Optical Coherence Tomography Study in a Population of Singapore Malays
he mingguang	China:Zhongshan Ophthalm Ctr, Guangzhou, Guangdong,Peoples R China. 	OPHTHALMOLOGY	Changes in Anterior Segment Morphology after Laser Peripheral Iridotomy: An Anterior Segment Optical Coherence Tomography Study
he ping	China:Xi An Jiao Tong Univ, Hosp 2, Dept Radiol, Xian 710004, Shaanxi Provinc,Peoples R China. Xian Jiaotong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Magnetic resonance diffusion tensor imaging of optic nerve and optic radiation in healthy adults at 3T
he qihong	China:Shenzhen Peoples Hosp, Dept Med Records & Stat, Shenzhen 518020, Guangdong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Changed trends of major causes of visual impairment in Sichuan, China from 1987 to 2006
he shigang	China:Chinese Acad Sci, Inst Biophys, State Key Lab Brain & Cognit Sci, Beijing 100101,Peoples R China. Chinese Academy of Sciences	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Long-Term Rescue of Rat Retinal Ganglion Cells and Visual Function by AAV-Mediated BDNF Expression after Acute Elevation of Intraocular Pressure
he xiangge	China:Third Mil Med Univ, Daping Hosp, Dept Ophthalmol, Inst Surg Res, Chongqing 400042,Peoples R China. Third Military Medical University	OPHTHALMIC RESEARCH	Gene Expression Profile Determination in Rat Retinal Tissue after Ocular Hypertension through Oligo Microarray
he yanyan	China:Huazhong Univ Sci & Technol, Wuhan Natl Lab Optoelect, Wuhan 430030, Hubei Province,Peoples R China. Huazhong University of Science & Technology	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	The influence of He-Ne laser on scar formation after trabeculectomy in rabbits
he yuan	China:Penn State Univ, Coll Med, Dept Neurol & Behav Sci, Hershey, PA 17033 USA. Penn State UniversityPennsylvania Commonwealth System of Higher Education (PCSHE)	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Mitochondrial Defects and Dysfunction in Calcium Regulation in Glaucomatous Trabecular Meshwork Cells
he yuan	China:Penn State Univ, Coll Med, Dept Neurol & Behav Sci, Hershey, PA 17033 USA. Penn State UniversityPennsylvania Commonwealth System of Higher Education (PCSHE)	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Mitochondrial complex I defect induces ROS release and degeneration in trabecular meshwork cells of POAG patients: Protection by antioxidants
he yuan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Guangzhou 510060,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Upregulation of Copine1 in trabecular meshwork cells of POAG patients: a membrane proteomics approach
he yuan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Guangzhou 510060,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Dexamethasone disrupts intercellular junction formation and cytoskeleton organization in human trabecular meshwork cells
he yuan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Guangzhou 510060,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Pro370Leu mutant myocilin impairs mitochondrial functions in human trabecular meshwork cells
he yuan	China:Xi An Jiao Tong Univ, Grp Ophthalmol Epidemiol Study, Hosp 2, Xian 710004, Shaanxi Prov,Peoples R China. Xian Jiaotong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Epidemiology of primary open angle glaucoma in a rural population in Shaanxi Province of China
he yuan	China:Xian Coll Med, Dept Ophthalmol, Affiliated Hosp 2, Xian,Peoples R China. 	MOLECULAR VISION	Down-regulation of GRP78 in human glaucomatous trabecular meshwork cells
hildebrand plloyd	China:Sichuan Acad Med Sci, Dept Ophthalmol, Chengdu 610072, Sichuan Provinc,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Changed trends of major causes of visual impairment in Sichuan, China from 1987 to 2006
ho jonathanchunho	China:Tung Wah Eastern Hosp, Dept Ophthalmol, Causeway Bay, Hong Kong,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Capsule membrane growth complicating glaucoma and corneal decompensation after neodymium:YAG capsulotomy
ho leonc	China:Univ Pittsburgh, Dept Ophthalmol, Ophthalmol & Visual Sci Res Ctr, UPMC Eye Ctr,Eye & Ear Inst,Sch Med, Pittsburgh, PA 15260 USA. Pennsylvania Commonwealth System of Higher Education (PCSHE)University of Pittsburgh	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	In Vivo Assessment of Aqueous Humor Dynamics Upon Chronic Ocular Hypertension and Hypotensive Drug Treatment Using Gadolinium-Enhanced MRI
ho mary	China:Chinese Univ Hong Kong, Prince Wales Hosp, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong KongPrince of Wales Hospital	OPHTHALMOLOGY	Choroidal Thickness Measurement in Myopic Eyes by Enhanced Depth Optical Coherence Tomography
ho wingcheung	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	BRITISH JOURNAL OF OPHTHALMOLOGY	Detection of early functional changes in diabetic retina using slow double-stimulation mfERG paradigm
ho wingcheung	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	BRITISH JOURNAL OF OPHTHALMOLOGY	Effect of inner retinal dysfunction on slow double-stimulation multifocal electroretinogram
ho wingcheung	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Myopia Progression in Children Is Linked with Reduced Foveal mfERG Response
ho winglau	China:Univ Hong Kong, LKS Fac Med, Dept Anat, Lab Neurodegenerat Dis, Pokfulam, Hong Kong,Peoples R China. University of Hong Kong	MOLECULAR VISION	Review: Tauopathy in the retina and optic nerve: does it shadow pathological changes in the brain?
hong jiaxu	China:Fudan Univ, Dept Ophthalmol & Vis Sci, Eye & ENT Hosp, Shanghai Med Coll, Shanghai 200031,Peoples R China. Fudan University	BRITISH JOURNAL OF OPHTHALMOLOGY	Position of the central retinal vessel trunk and pattern of remaining visual field in advanced glaucoma
hong jiaxu	China:Fudan Univ, Dept Ophthalmol & Vis Sci, Eye & ENT Hosp, Shanghai Med Coll, Shanghai 200031,Peoples R China. Fudan University	ACTA OPHTHALMOLOGICA	Comparison on the vision-related quality of life between outpatients and general population with dry eye syndrome
hong jiaxu	China:Fudan Univ, Dept Ophthalmol & Vis Sci, Eye & ENT Hosp, Shanghai Med Coll, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A New Tonometer-The Corvis ST Tonometer: Clinical Comparison with Noncontact and Goldmann Applanation Tonometers
hong jiaxu	China:Fudan Univ, Dept Ophthalmol & Vis Sci, Eye & ENT Hosp, Shanghai Med Coll, Shanghai 200031,Peoples R China. Fudan University	OPHTHALMOLOGY	Spectral-Domain Optical Coherence Tomographic Assessment of Schlemm's Canal in Chinese Subjects with Primary Open-angle Glaucoma
hong ying	China:Peking Univ, Dept Ophthalmol, Hosp 3, Beijing 100083,Peoples R China. Peking University	CURRENT EYE RESEARCH	Pigment Dispersion Glaucoma Induced by the Chafing Effect of Intraocular Lens Haptics in Asian Eyes
hong ying	China:Peking Univ, Dept Ophthalmol, Hosp 3, Beijing 100083,Peoples R China. Peking University	JOURNAL OF GLAUCOMA	Comment on Effects of Phacoemulsification Versus Combined Phacotrabeculectomy on Drainage Angle Status in Primary Angle Closure Glaucoma
hou fei	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Dexamethasone disrupts intercellular junction formation and cytoskeleton organization in human trabecular meshwork cells
hou ping	China:Shantou Univ, Joint Shantou Int Eye Ctr, Shantou,Peoples R China. Shantou University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Quantitative Analysis of Retinal Layer Optical Intensities on Three-Dimensional Optical Coherence Tomography
hou ruowu	China:Capital Med Univ, Beijing Tongren Hosp, Dept Neurosurg, Beijing 100730,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Optic Neuropathy Induced by Experimentally Reduced Cerebrospinal Fluid Pressure in Monkeys
hou ruowu	China:Capital Med Univ, Beijing Tongren Hosp, Dept Neurosurg, Beijing 100730,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Reproducibility of Macular, Retinal Nerve Fiber Layer, and ONH Measurements by OCT in Rhesus Monkeys: The Beijing Intracranial and Intraocular Pressure (iCOP) Study
hou shengping	China:Chongqing Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	The association between matrix metalloprotease-9 gene polymorphisms and primary angle-closure glaucoma in a Chinese Han population
hu bing	China:Univ Hong Kong, State Key Lab Brian & Cognit Sci, Hong Kong,Peoples R China. University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Blocking LINGO-1 function promotes retinal ganglion cell survival following ocular hypertension and optic nerve transection
hu haitao	China:Xi An Jiao Tong Univ, Dept Human Anat Histol & Embryol, Coll Med, Xian 710061, Shaanxi,Peoples R China. Xian Jiaotong University	OPHTHALMIC GENETICS	Ophthalmic findings in a family with early-onset isolated ectopia lentis and the p.Arg62Cys mutation of the fibrillin-1 gene (FBN1)
hu haiyan	China:Sun Yat Sen Univ, Sch Pharmaceut Sci, Res & Dev Ctr Pharmaceut, Guangzhou 510080, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Anti-proliferation effects of Sirolimus sustained delivery film in rabbit glaucoma filtration surgery
