adan alfredo	China:Chinese Univ Hong Kong, Dept Ophthalmol, Hong Kong Sanat & Hosp, Happy Valley, Hong Kong,Peoples R China. Chinese University of Hong Kong	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Visual Outcomes of Intravitreal Bevacizumab in Inflammatory Ocular Neovascularization
dong xiaoguang	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	INTRAVITREALLY IMPLANTABLE VORICONAZOLE DELIVERY SYSTEM FOR EXPERIMENTAL FUNGAL ENDOPHTHALMITIS
dong xiaoguang	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao,Peoples R China. 	CURRENT EYE RESEARCH	Expression Profile and Regulation of Telomerase Reverse Transcriptase on Oxygen-Induced Retinal Neovascularization
dong xiaoguang	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao,Peoples R China. 	MOLECULAR VISION	Advanced glycation end products of bovine serum albumin-induced endothelial-to-mesenchymal transition in cultured human and monkey endothelial cells via protein kinase B signaling cascades
dong xiaojuan	China:Xian 4 Hosp, Dept Ophthalmol, Xian 710004, Shaanxi Provinc,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Multiple methods of surgical treatment combined with primary IOL implantation on traumatic lens subluxation/dislocation in patients with secondary glaucoma
dong xiaoyan	China:China CDC, Natl Inst Viral Dis Control & Prevent, State Key Lab Mol Virol & Genet Engn, Beijing 100052,Peoples R China. 	VISION RESEARCH	Enhanced transduction and improved photoreceptor survival of retinal degeneration by the combinatorial use of rAAV2 with a lower dose of adenovirus
dong xiaoyan	China:China CDC, Natl Inst Viral Dis Control & Prevent, State Key Lab Mol Virol & Genet Engn, Beijing 100052,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Enhancement of rAAV2-Mediated Transgene Expression in Retina Cells In Vitro and In Vivo by Coadministration of Low-Dose Chemotherapeutic Drugs
dong xiaoyan	China:China CDC, Natl Inst Viral Dis Control & Prevent, State Key Lab Mol Virol & Genet Engn, Beijing 100052,Peoples R China. 	CURRENT EYE RESEARCH	Distinctive gene transduction efficiencies of commonly used viral vectors in the retina
dong xin	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Harbin 150001, Heilongjiang,Peoples R China. Harbin Medical University	MOLECULAR VISION	Protective effect of canolol from oxidative stress-induced cell damage in ARPE-19 cells via an ERK mediated antioxidative pathway
dong xin	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Harbin 150001, Heilongjiang,Peoples R China. Harbin Medical University	MOLECULAR VISION	Astaxanthin protects ARPE-19 cells from oxidative stress via upregulation of Nrf2-regulated phase II enzymes through activation of PI3K/Akt
dong xuan	China:Shandong Univ, Sch Life Sci, Inst Dev Biol, Shandong Prov Key Lab Anim Cells & Dev Biol, Jinan 250100, Shandong,Peoples R China. Shandong University	EXPERIMENTAL EYE RESEARCH	Two distinct phenotypes in pigmented cells of different embryonic origins in eyes of pale ear mice
dong zhe	China:Chinese Acad Sci, Beijing,Peoples R China. Chinese Academy of Sciences	MOLECULAR VISION	Proteomic analysis of aqueous humor from patients with myopia
dong zhizhang	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Characterization and retinal neuron differentiation of WERI-Rb1 cancer stem cells
dong zhizhang	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Generation of induced pluripotent stem cells from human Tenon's capsule fibroblasts
dongyi he	China:Guanghua Rheumatoid Arthrit Specialized Hosp, Dept Internal Med, Shanghai 200052,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Assessing chloroquine toxicity in RA patients using retinal nerve fibre layer thickness, multifocal electroretinography and visual field test
dou guorui	China:Fourth Mil Med Univ, Dept Ophthalmol, Xijing Hosp, Xian 710032, Shaanxi Prov,Peoples R China. Fourth Military Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Inhibition of proliferation, migration and tube formation of choroidal microvascular endothelial cells by targeting HIF-1 alpha with short hairpin RNA-expressing plasmid DNA in human RPE cells in a coculture system
dou guorui	China:Fourth Mil Med Univ, Dept Ophthalmol, Xijing Hosp, Xian 710032, Shaanxi Prov,Peoples R China. Fourth Military Medical University	CURRENT EYE RESEARCH	Hypoxia Specific SDF-1 Expression by Retinal Pigment Epithelium Initiates Bone Marrow-derived Cells to Participate in Choroidal Neovascularization in a Laser-induced Mouse Model
dou guorui	China:Fourth Mil Med Univ, Dept Ophthalmol, Xijing Hosp, Xian 710032, Shaanxi Prov,Peoples R China. Fourth Military Medical University	EXPERIMENTAL EYE RESEARCH	Hyperglycemia promotes vasculogenesis in choroidal neovascularization in diabetic mice by stimulating VEGF and SDF-1 expression in retinal pigment epithelial cells
dou guorui	China:Fourth Mil Med Univ, Dept Ophthalmol, Xijing Hosp, Xian 710032, Shaanxi Prov,Peoples R China. Fourth Military Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Preliminary study of retinal pathological features in preterm birth pups exposed to an animal model of oxygen-induced retinopathy in mice
dou hongliang	China:Peking Univ, Dept Ophthalmol, Hosp 3, Beijing 100191,Peoples R China. Peking University	JAPANESE JOURNAL OF OPHTHALMOLOGY	Unilateral hemi-central retinal vein obstruction associated with retinal racemose angioma
dou hongliang	China:Peking Univ, Dept Ophthalmol, Hosp 3, Beijing 100191,Peoples R China. Peking University	OCULAR IMMUNOLOGY AND INFLAMMATION	Serum Inflammatory Factors in Patients with Idiopathic Choroidal Neovascularization
dou hongliang	China:Peking Univ, Dept Ophthalmol, Hosp 3, Beijing 100191,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Autologous Transplantation of Retinal Pigment Epithelium-Bruch's Membrane Complex for Hemorrhagic Age-Related Macular Degeneration
dou hongliang	China:Peking Univ, Dept Ophthalmol, Hosp 3, Beijing 100191,Peoples R China. Peking University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Improvement of Retinal Function in Early Age-Related Macular Degeneration After Lutein and Zeaxanthin Supplementation: A Randomized, Double-Masked, Placebo-Controlled Trial
dou hongliang	China:Peking Univ, Dept Ophthalmol, Hosp 3, Beijing 100191,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Baicalein Reduces Inflammatory Process in a Rodent Model of Diabetic Retinopathy
dou hongliang	China:Peking Univ, Dept Ophthalmol, Hosp 3, Beijing 100191,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Autologous Transplantation of Simple Retinal Pigment Epithelium Sheet for Massive Submacular Hemorrhage Associated With Pigment Epithelium Detachment
dou xiuqiong	China:Cent S Univ, Xiangya Hosp, Dept Ophthalmol, Changsha 410008, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Retinoic acid metabolic change in retina and choroid of the guinea pig with lens-induced myopia
du anjie	China:Hosp Chinese PLA, Ophthalm Ctr, Urumqi 830013, Xinjiang Uygur,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effects of aminoguanidine on retinal apoptosis in mice with oxygen-induced retinopathy
du anjie	China:Yuncheng Cent Hosp, Dept Ophthalmol, Yuncheng 044000, Shanxi Province,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Inhibition of retinopathy of prematurity in rat by intravitreal injection of sorafenib
du bei	China:Tianjin Med Univ, Coll Optometry, Tianjin 300070,Peoples R China. Tianjin Medical University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Retinal function and morphology of severe non-proliferative diabetic retinopathy before and after retinal photocoagulation
du changqing	China:Taishan Med Univ, Dept Histol & Embryol, Tai An 271000, Shandong,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	Hydrogen-rich saline protects retina against glutamate-induced excitotoxic injury in guinea pig
du gaiping	China:Chinese Peoples Liberat Army Gen Hosp, Dept Ophthalmol, Beijing 100853,Peoples R China. 	OPHTHALMOLOGY	Moscow Eye Microsurgery Complex in Russia Keratoprosthesis in Beijing
du hongjun	China:Fourth Mil Med Univ, Dept Ophthalmol, Eye Inst Chinese PLA, Xijing Hosp, Xian 710032,Peoples R China. Fourth Military Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Mechanical force enhances MMP-2 activation via p38 signaling pathway in human retinal pigment epithelial cells
du hongjun	China:Fourth Mil Med Univ, Dept Ophthalmol, Eye Inst Chinese PLA, Xijing Hosp, Xian 710032,Peoples R China. Fourth Military Medical University	CURRENT EYE RESEARCH	Increased levels of soluble syndecan-1 in the subretinal fluid and the vitreous of eyes with rhegmatogenous retinal detachment
du hongjun	China:Fourth Mil Med Univ, Dept Ophthalmol, Eye Inst Chinese PLA, Xijing Hosp, Xian 710032,Peoples R China. Fourth Military Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Activation of Formyl Peptide Receptor-1 Enhances Restitution of Human Retinal Pigment Epithelial Cell Monolayer under Electric Fields
du hongjun	China:Fourth Mil Med Univ, Dept Ophthalmol, Eye Inst Chinese PLA, Xijing Hosp, Xian 710032,Peoples R China. Fourth Military Medical University	SEMINARS IN OPHTHALMOLOGY	Induced Pluripotent Stem Cell Therapies for Geographic Atrophy of Age-Related Macular Degeneration
du hui	China:Taishan Med Univ, Dept Histol & Embryol, Tai An 271000, Shandong,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	Hydrogen-rich saline protects retina against glutamate-induced excitotoxic injury in guinea pig
du jing	China:Fourth Mil Med Univ, Eye Inst Chinese PLA, Xijing Hosp, Dept Ophthalmol, Xian 710032,Peoples R China. Fourth Military Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Lentivirus Vector-Mediated Knockdown of Erythropoietin-Producing Hepatocellular Carcinoma Receptors B4 Inhibits Laser-Induced Choroidal Neovascularization
du ke	China:Xiangyang Ctr Hosp, Dept Oncol, Xiangyang,Peoples R China. 	MOLECULAR VISION	Overexpression of 15-lipoxygenase-1 in oxygen-induced ischemic retinopathy inhibits retinal neovascularization via downregulation of vascular endothelial growth factor-A expression
du kuifang	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing 100730,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Reproducibility of Subfoveal Choroidal Thickness Measurements with Enhanced Depth Imaging by Spectral-Domain Optical Coherence Tomography
du kuifang	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing 100730,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Subfoveal Choroidal Thickness in Diabetes and Diabetic Retinopathy
du kuifang	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing 100730,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Visual Acuity and Subfoveal Choroidal Thickness: The Beijing Eye Study
du kuifang	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing 100730,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Subfoveal Choroidal Thickness in Retinal Vein Occlusion
du lingling	China:Harbin Med Univ, Affiliated Hosp 1, Hosp Eye, Harbin,Peoples R China. Harbin Medical University	MOLECULAR VISION	Leukocytes from diabetic patients kill retinal endothelial cells: Effects of berberine
du liping	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Retinal S-antigen Th1 cell epitope mapping in patients with Behcet's disease
du rong	China:Huazhong Univ Sci & Technol, Union Hosp, Wuhan 430074, Hubei,Peoples R China. Huazhong University of Science & Technology	MOLECULAR VISION	Novel compound heterozygous mutations in MYO7A in a Chinese family with Usher syndrome type 1
du shanshan	China:Shanghai Jiao Tong Univ, Peoples Hosp 6, Dept Ophthalmol, Shanghai 200233,Peoples R China. Shanghai Jiao Tong University	CURRENT EYE RESEARCH	Altered Retinal MicroRNA Expression Profiles in Early Diabetic Retinopathy: An In Silico Analysis
du shanshan	China:Shanghai Jiao Tong Univ, Peoples Hosp 6, Dept Ophthalmol, Shanghai 200233,Peoples R China. Shanghai Jiao Tong University	EXPERIMENTAL EYE RESEARCH	Decorin inhibits angiogenic potential of choroid-retinal endothelial cells by downregulating hypoxia-induced Met, Rac1, HIF-1 alpha and VEGF expression in cocultured retinal pigment epithelial cells
du shanshan	China:Shanghai Jiao Tong Univ, Peoples Hosp 6, Dept Ophthalmol, Shanghai 200233,Peoples R China. Shanghai Jiao Tong University	MOLECULAR VISION	ERK1/2/COX-2/PGE(2) signaling pathway mediates GPR91-dependent VEGF release in streptozotocin-induced diabetes
du shanshan	China:Shanghai Jiao Tong Univ, Peoples Hosp 6, Dept Ophthalmol, Shanghai 200233,Peoples R China. Shanghai Jiao Tong University	MOLECULAR VISION	Heat shock protein 70 expression induced by diode laser irradiation on choroid-retinal endothelial cells in vitro
du shaoqing	China:Huazhong Univ Sci & Technol, Sch Chem & Chem Engn, Hubei Key Lab Bioinorgan Chem & Mat Med, Wuhan 430074, Hubei,Peoples R China. Huazhong University of Science & Technology	EXPERIMENTAL EYE RESEARCH	Involvement of MsrB1 in the regulation of redox balance and inhibition of peroxynitrite-induced apoptosis in human lens epithelial cells
du wei	China:Peking Univ, Peoples Hosp, Dept Ophthalmol, Key Lab Vis Loss & Restorat,Minist Educ, Beijing 100044,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Ephrin-A4 Is Involved in Retinal Neovascularization by Regulating the VEGF Signaling Pathway
du wei	China:Peking Univ, Peoples Hosp, Dept Ophthalmol, Key Lab Vis Loss & Restorat,Minist Educ, Beijing 100044,Peoples R China. Peking University	MOLECULAR VISION	Protective effect of paeoniflorin against oxidative stress in human retinal pigment epithelium in vitro
du wei	China:Yangzhou Univ, Dept Ophthalmol, Sch Clin Med, Subei Peoples Hosp Jiangsu Prov, Yangzhou, Jiangsu,Peoples R China. Yangzhou University	CURRENT EYE RESEARCH	Intravitreal Injection of Soluble Erythropoietin Receptor Exacerbates Photoreceptor Cell Apoptosis in a Rat Model of Retinal Detachment
du wennan	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Different Intravitreal Properties of Three Triamcinolone Formulations and Their Possible Impact on Retina Practice
du wennan	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Ocular Pharmacokinetics of Bevacizumab in Vitrectomized Eyes with Silicone Oil Tamponade
du wennan	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	COMPARISON OF INTRAOCULAR PRESSURE ELEVATION AFTER ANTERIOR VERSUS POSTERIOR SUBTENON TRIAMCINOLONE ACETONIDE ACETATE INJECTION A Retrospective Study
du xinhua	China:Shanghai 6 Peoples Hosp, Dept Ophthalmol, Shanghai,Peoples R China. Shanghai Jiao Tong University	CURRENT EYE RESEARCH	Lentivirus-Mediated sFlt-1 Gene Fragment Transfer Suppresses Retinal Neovascularization
du xinhua	China:Shanghai 6 Peoples Hosp, Dept Ophthalmol, Shanghai,Peoples R China. Shanghai Jiao Tong University	CURRENT EYE RESEARCH	Altered Retinal MicroRNA Expression Profiles in Early Diabetic Retinopathy: An In Silico Analysis
du yang	China:Univ Hong Kong, Res Ctr Heart Brain Hormone & Healthy Aging, Li Ka Shing Fac Med, Pokfulam, Hong Kong,Peoples R China. University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Regulation of Retinal Progenitor Cell Differentiation by Bone Morphogenetic Protein 4 Is Mediated by the Smad/Id Cascade
du yi	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CURRENT EYE RESEARCH	Vision-Related Quality of Life Tends to be More Severely Impaired in Patients with Dysthyroid Optic Neuropathy
du yinghua	China:HeBei Med Univ, Dept Ophthalmol, Hosp 2, Shijiazhuang 050000, Hebei,Peoples R China. Hebei Medical University	EXPERIMENTAL EYE RESEARCH	Retinoic acid suppresses the adhesion and migration of human retinal pigment epithelial cells
du yinghua	China:HeBei Med Univ, Dept Ophthalmol, Hosp 2, Shijiazhuang 050000, Hebei,Peoples R China. Hebei Medical University	CURRENT EYE RESEARCH	Both amacrine and bipolar cells release glutamate in the rat retina after ischemia/reperfusion insult in vitro
du yuxiang	China:Shandong Univ Tradit Chinese Med, Dept Ophthalmol, Jinan 250002, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Combintion of ranibizumab with photodynamic therapy vsranibizumab rnonotherapy in the treatment of age-related macular degeneration: a systematic review and meta-analysis of randomized controlled trials
du zhaodong	China:Peking Univ Third Hosp, Peking Univ Eye Ctr, Beijing 100191,Peoples R China. Peking University	CUTANEOUS AND OCULAR TOXICOLOGY	The effects of sodium orthovanadate-induced phosphatase inhibition on rat retinal pigment epithelium cell activity
du zhaodong	China:Qingdao Univ, Dept Ophthalmol, Affiliated Hosp, Coll Med, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Epidemiological characteristics and risk factors of diabetic retinopathy in type 2 diabetes mellitus in Shandong Peninsula of China
du zhaojiang	China:Fourth Mil Med Univ, Dept Ophthalmol, Xijing Hosp, Xian 710032, Shaanxi Prov,Peoples R China. Fourth Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Concomitant expression and combined localization of Ets-1 and VEGF in experimental diabetic rat's retina
du zhaojiang	China:Fourth Mil Med Univ, Dept Ophthalmol, Xijing Hosp, Xian 710032, Shaanxi Prov,Peoples R China. Fourth Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Increased expression of Ets-1 in the diabetic retina of streptozotocin-induced rat model
du zhaojiang	China:Fourth Mil Med Univ, Dept Ophthalmol, Xijing Hosp, Xian 710032, Shaanxi Prov,Peoples R China. Fourth Military Medical University	OPHTHALMIC RESEARCH	Integrin beta 1 Subunit Signaling Is Involved in the Directed Migration of Human Retinal Pigment Epithelial Cells following Electric Field Stimulation
duan anli	China:Capital Med Univ, Beijing Ophthalmol & Visual Sci Key Lab, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing 100730,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	COMPLICATIONS AFTER HEAVY SILICONE OIL TAMPONADE IN COMPLICATED RETINAL DETACHMENT
duan fang	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Small interfering RNA targeting for infected-cell polypeptide 4 inhibits herpes simplex virus type 1 replication in retinal pigment epithelial cells
duan huilong	China:Zhejiang Univ, Key Lab Biomed Engn, Minist Educ, Coll Biomed Engn & Instrument Sci, Hangzhou 310027, Zhejiang,Peoples R China. Zhejiang University	OPHTHALMIC SURGERY LASERS & IMAGING	Assessment of Frame-Averaging Algorithms in OCT Image Analysis
duan jingzhu	China:China Med Univ, Shengjing Hosp, Dept Orthopaed, Shenyang 110021, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of aminoguanidine on caspase-3 expression in rat retina after ischemia-reperfusion injury
duan xiaoli	China:Fourth Mil Med Univ, Inst Neurosci Chinese PLA, Xian 710032, Shaanxi Prov,Peoples R China. Fourth Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Concomitant expression and combined localization of Ets-1 and VEGF in experimental diabetic rat's retina
duan xiaoli	China:Fourth Mil Med Univ, Inst Neurosci Chinese PLA, Xian 710032, Shaanxi Prov,Peoples R China. Fourth Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Increased expression of Ets-1 in the diabetic retina of streptozotocin-induced rat model
duan xiaoming	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Inst Ophthalmol, Beijing,Peoples R China. Capital Medical University	MOLECULAR VISION	Proteomic analysis of aqueous humor from patients with myopia
duan xinrong	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Prevalence and Associations of Epiretinal Membranes in a Rural Chinese Adult Population: The Handan Eye Study
duan xinrong	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Normal Macular Thickness Measurements Using Optical Coherence Tomography in Healthy Eyes of Adult Chinese Persons: The Handan Eye Study
duan xinrong	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	OPHTHALMIC EPIDEMIOLOGY	Eye Care Use Among Rural Adults in China: The Handan Eye Study
duan xinrong	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	OPHTHALMIC EPIDEMIOLOGY	The epidemiology of age-related eye diseases in Mainland China
duan xinrong	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Association of dilated retinal arteriolar caliber with early age-related macular degeneration: the Handan Eye Study
duan xuanchu	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Diagnosis and treatment of myopic traction maculopathy
duan xuanchu	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Efficacy and necessity of prophylactic vitrectomy for acute retinal necrosis syndrome
ellisbehnke rutledge	China:Univ Hong Kong, Li Ka Shing Fac Med, State Key Lab Brain & Cognit Sci, Dept Anat,Res Ctr Heart Brain & Healthy Aging, Hong Kong, Hong Kong,Peoples R China. University of Hong Kong	ACTA OPHTHALMOLOGICA	Redefining tissue engineering for nanomedicine in ophthalmology
ellisbehnke rutledge	China:Univ Hong Kong, Li Ka Shing Fac Med, State Key Lab Brain & Cognit Sci, Dept Anat,Res Ctr Heart Brain & Healthy Aging, Hong Kong, Hong Kong,Peoples R China. University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Visual Response Properties of Y Cells in the Detached Feline Retina
fan alexh	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Differentiation of Exudative Age-Related Macular Degeneration and Polypoidal Choroidal Vasculopathy in the ARMS2/HTRA1 Locus
fan alexh	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OCULAR IMMUNOLOGY AND INFLAMMATION	Clinical Characteristics of Intermediate Uveitis in Chinese Patients
fan alexh	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMIC SURGERY LASERS & IMAGING	Central Serous Chorioretinopathy After Sequential Argon-Neodymium: YAG Laser Iridotomies
fan baojian	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong Eye Hosp, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	The cytotoxic and stress responses of human trabecular meshwork cells treated with triamcinolone acetonide
fan baojian	China:Harvard Univ, Sch Med, Dept Ophthalmol, Massachusetts Eye & Ear Infirm, Boston, MA USA. Harvard UniversityVA Boston Healthcare System	MOLECULAR VISION	EDN1 Lys198Asn is associated with diabetic retinopathy in type 2 diabetes
fan bin	China:JiLin Univ, Hosp 2, Dept Ophthalmol, Changchun 130041,Peoples R China. Jilin University	MOLECULAR VISION	Visible light may directly induce nuclear DNA damage triggering the death pathway in RGC-5 cells
fan bin	China:JiLin Univ, Hosp 2, Dept Ophthalmol, Changchun 130041,Peoples R China. Jilin University	EXPERIMENTAL EYE RESEARCH	Acute energy reduction induces caspase-dependent apoptosis and activates p53 in retinal ganglion cells (RGC-5)
fan bin	China:JiLin Univ, Hosp 2, Dept Ophthalmol, Changchun 130041,Peoples R China. Jilin University	MOLECULAR VISION	The D-1 dopamine receptor agonist, SKF83959, attenuates hydrogen peroxide-induced injury in RGC-5 cells involving the extracellular signal-regulated kinase/p38 pathways
fan chuanfeng	China:Shandong Univ, Shandong Prov Hosp, Dept Ophthalmol, Jinan 250021, Shandong,Peoples R China. Shandong University	CURRENT EYE RESEARCH	Comparison of Clinical Efficacy of Intravitreal Ranibizumab with and without Triamcinolone Acetonide in Macular Edema Secondary to Central Retinal Vein Occlusion
fan fan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong Eye Hosp, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	EYE	Peripheral and posterior pole retinal lesions in association with high myopia: a cross-sectional community-based study in Hong Kong
fan fan	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	BRITISH JOURNAL OF OPHTHALMOLOGY	Risk factors for postoperative complications in lensectomy-vitrectomy with or without intraocular lens placement in ectopia lentis associated with Marfan syndrome
fan fang	China:Cent S Univ, Dept Ophthalmol, Xiang Ya Hosp 2, Changsha 410011, Hunan,Peoples R China. Central South University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Protective effects of human umbilical cord blood stem cell intravitreal transplantation against optic nerve injury in rats
fan fang	China:Cent S Univ, Dept Ophthalmol, Xiang Ya Hosp 2, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of Bak Foong Pills on the expression of beta-amyloid in rat retina with optic nerve transection
