ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
li suxia	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Eye Hosp, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Ring-shaped corneoscleral lamellar keratoplasty guided by high-definition optical coherence tomography and Scheimpflug imaging for severe Terrien's marginal corneal degeneration
li wei	China:Xiamen Univ, Xiamen Eye Ctr, Xiamen 361005,Peoples R China. Xiamen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Amniotic membrane extraction solution for ocular chemical burns
li yimin	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Vision-Related Quality of Life in Patients with Ocular Chemical Burns
li yuehua	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Descemet membrane detachment after trabeculectomy
li yumin	China:Zhejiang Univ, Affiliated Hosp 1, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	A Comparison of Cyclosporine 0.05% Ophthalmic Emulsion Versus Vehicle in Chinese Patients with Moderate to Severe Dry Eye Disease: An Eight-Week, Multicenter, Randomized, Double-Blind, Parallel-Group Trial
li zhaohui	China:Gen Hosp Chinese PLA, Dept Ophthalmol, Beijing 100853,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Vitrectomy for the treatment of posttraumatic endophthalmitis
li zhijian	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Harbin,Peoples R China. Harbin Medical University	CURRENT EYE RESEARCH	Prevalence of and Associated Factors for Corneal Blindness in a Rural Adult Population (The Southern Harbin Eye Study)
li zhijian	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Harbin,Peoples R China. Harbin Medical University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Prevalence and causes of corneal blindness
liang l	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Ocular Surface Dis Ctr, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	EYE	Limbal stem cell transplantation: new progresses and challenges
liang l	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Ocular Surface Dis Ctr, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Amniotic membrane extraction solution for ocular chemical burns
liang q	China:Beijing TongRen Hosp, Beijing TongRen Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	JOURNAL FRANCAIS D OPHTALMOLOGIE	A traumatic corneoscleral epithelial cyst
liao jingyu	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	PLOS ONE	How Often Are Major Blood-Borne Pathogens Found in Eye Patients? A Serosurvey at an Eye Hospital in Southern China
lin dawei	China:Shandong Univ, Qilu Hosp, Dept Rheumatol & Occupat Med, Jinan 250012, Shandong,Peoples R China. Shandong University	CUTANEOUS AND OCULAR TOXICOLOGY	Severe keloids caused by hydrogen cyanide injury: A case report
lin haotian	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGICA	Preventive Scleral Buckling and Silicone Oil Tamponade Are Important for Posttraumatic Endophthalmitis Successfully Managed with Vitrectomy
lin xiaofeng	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	BMC OPHTHALMOLOGY	Causative organisms of post-traumatic endophthalmitis: a 20-year retrospective study
lin xiaofeng	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	PLOS ONE	How Often Are Major Blood-Borne Pathogens Found in Eye Patients? A Serosurvey at an Eye Hospital in Southern China
ling shiqi	China:Guangzhou Childrens Hosp, Guangzhou, Guangdong,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Amniotic membrane extraction solution for ocular chemical burns
ling shiqi	China:Sun Yat Sen Univ, Affiliated Hosp 3, Dept Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGICA	Preventive Scleral Buckling and Silicone Oil Tamponade Are Important for Posttraumatic Endophthalmitis Successfully Managed with Vitrectomy
ling shiqi	China:Sun Yat Sen Univ, Affiliated Hosp 3, Dept Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JAMA OPHTHALMOLOGY	Pressure-Induced Stromal Keratopathy as a Result of Ocular Trauma After Laser In Situ Keratomileusis
liu bingqian	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	BMC OPHTHALMOLOGY	Causative organisms of post-traumatic endophthalmitis: a 20-year retrospective study
liu mingna	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Eye Hosp, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Ring-shaped corneoscleral lamellar keratoplasty guided by high-definition optical coherence tomography and Scheimpflug imaging for severe Terrien's marginal corneal degeneration
liu ping	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Harbin,Peoples R China. Harbin Medical University	CURRENT EYE RESEARCH	Prevalence of and Associated Factors for Corneal Blindness in a Rural Adult Population (The Southern Harbin Eye Study)
liu ping	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Harbin,Peoples R China. Harbin Medical University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Prevalence and causes of corneal blindness
liu ting	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Amniotic membrane traps and induces apoptosis of inflammatory cells in ocular surface chemical burn
liu x	China:Jilin Univ, Hosp 2, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	EYE	Determination of visual prognosis in children with open globe injuries
liu xiaoqiang	China:Tongji Univ, Sch Med, Dept Ophthalmol, Shanghai Peoples Hosp 10, Shanghai 200072,Peoples R China. Tongji University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Measurement of the Limbus-Insertion Distance in Adult Strabismus Patients with Anterior Segment Optical Coherence Tomography
liu xiaoqiang	China:Tongji Univ, Sch Med, Dept Ophthalmol, Shanghai Peoples Hosp 10, Shanghai 200072,Peoples R China. Tongji University	JAMA OPHTHALMOLOGY	Pressure-Induced Stromal Keratopathy as a Result of Ocular Trauma After Laser In Situ Keratomileusis
liu xiaowei	China:Chinese Acad Med Sci, Dept Ophthalmol, Peking Union Med Coll Hosp, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OPTOMETRY AND VISION SCIENCE	Mycobacterium massiliense Keratitis
liu xin	China:Second Mil Med Univ, Changhai Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Second Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Combined lens and vitreoretinal surgery in patients with traumatic cataract and intraocular foreign body
liu xing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF GLAUCOMA	Evaluation of Secondary Glaucoma Associated With Subluxated Lens Misdiagnosed as Acute Primary Angle-closure Glaucoma
liu y	China:Jilin Univ, Hosp 2, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	EYE	Determination of visual prognosis in children with open globe injuries
liu z	China:Jilin Univ, Hosp 2, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	EYE	Determination of visual prognosis in children with open globe injuries
liu z	China:Jilin Univ, Hosp 2, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Vitrectomy for the treatment of posttraumatic endophthalmitis
liu zhaochuan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGICA	Preventive Scleral Buckling and Silicone Oil Tamponade Are Important for Posttraumatic Endophthalmitis Successfully Managed with Vitrectomy
liu zuguo	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Amniotic membrane extraction solution for ocular chemical burns
long chongde	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	BMC OPHTHALMOLOGY	Causative organisms of post-traumatic endophthalmitis: a 20-year retrospective study
long qin	China:Chinese Acad Med Sci, Dept Ophthalmol, Peking Union Med Coll Hosp, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OPTOMETRY AND VISION SCIENCE	Mycobacterium massiliense Keratitis
lu kewei	China:Peoples Hosp Guangxi Zhuang Autonomous Reg, Dept Ophthalmol, Nanning 530021, Guangxi,Peoples R China. 	CORNEA	A Novel Technique of Sutureless and Glueless Conjunctival Autografting in Pterygium Surgery by Electrocautery Pen
lu l	China:Beijing TongRen Hosp, Beijing TongRen Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	JOURNAL FRANCAIS D OPHTALMOLOGIE	A traumatic corneoscleral epithelial cyst
lu yan	China:Nanjing Univ, Sch Med, Jinling Hosp, Dept Ophthalmol, Nanjing 210002, Jiangsu,Peoples R China. Nanjing University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Allogeneic corneoscleral limbus tissue transplantation for treatment of the necrosis in porphyria eye disease
lu yingjuan	China:Tianjin Med Univ, Gen Hosp, Dept Ophthalmol, Tianjin 300052,Peoples R China. Tianjin Medical University	CURRENT EYE RESEARCH	Reasons for and Management of Postvitrectomy Vitreous Hemorrhage in Proliferative Diabetic Retinopathy
luo lixia	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF GLAUCOMA	Evaluation of Secondary Glaucoma Associated With Subluxated Lens Misdiagnosed as Acute Primary Angle-closure Glaucoma
luo weiling	China:Zhejiang Univ, Coll Med, Affiliated Hosp 1, Dept Ophthalmol, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Rigid gas-permeable contact lens for visual rehabilitation in aphakia following trauma
ma jin	China:Zhejiang Univ, Ctr Eye, Affiliated Hosp 2, Sch Med, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	ARCHIVES OF OPHTHALMOLOGY	Transocular Removal of a Retrobulbar Foreign Body and Internal Patch of the Posterior Exit Wound With Autologous Tenon Capsule
ma ping	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	EXPERIMENTAL EYE RESEARCH	Toll-like receptors mediate induction of peptidoglycan recognition proteins in human corneal epithelial cells
ma xiao	China:Gen Hosp Chinese PLA, Dept Ophthalmol, Beijing 100853,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Vitrectomy for the treatment of posttraumatic endophthalmitis
ma zhizhong	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	CASE-CONTROL STUDY OF RISK FACTORS FOR NO LIGHT PERCEPTION AFTER OPEN-GLOBE INJURY Eye Injury Vitrectomy Study
ma zhizhong	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	RISK FACTORS, ANATOMICAL, AND VISUAL OUTCOMES OF INJURED EYES WITH PROLIFERATIVE VITREORETINOPATHY Eye Injury Vitrectomy Study
mei haifeng	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	SUPRACHOROIDAL HEMORRHAGE DURING PARS PLANA VITRECTOMY IN TRAUMATIZED EYES
meng xuxia	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Visual outcome following intraocular foreign bodies: a retrospective review of 5-year clinical experience
nie hongping	China:Peking Univ, Dept Ophthalmol, Hosp 1, Beijing 100191,Peoples R China. Peking University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	CASE-CONTROL STUDY OF RISK FACTORS FOR NO LIGHT PERCEPTION AFTER OPEN-GLOBE INJURY Eye Injury Vitrectomy Study
nie hongping	China:Peking Univ, Dept Ophthalmol, Hosp 1, Beijing 100191,Peoples R China. Peking University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	RISK FACTORS, ANATOMICAL, AND VISUAL OUTCOMES OF INJURED EYES WITH PROLIFERATIVE VITREORETINOPATHY Eye Injury Vitrectomy Study
pan borong	China:Fourth Mil Med Univ, Xijing Hosp, Tumor Ctr, Xian 710000, Shaanxi Provinc,Peoples R China. Fourth Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Data analysis of low dose multislice helical CT scan in orbital trauma
pan dongyan	China:Second Mil Med Univ, Changhai Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Second Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Combined lens and vitreoretinal surgery in patients with traumatic cataract and intraocular foreign body
pan hongwei	China:Jinan Univ, Affiliated Hosp 1, Dept Ophthalmol, Guangzhou 510632, Guangdong,Peoples R China. Jinan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Implantation of Iakymenko keratoprosthesis in patients with severe ocular injury
pan z	China:Beijing TongRen Hosp, Beijing TongRen Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	JOURNAL FRANCAIS D OPHTALMOLOGIE	A traumatic corneoscleral epithelial cyst
pang dajun	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	PLOS ONE	How Often Are Major Blood-Borne Pathogens Found in Eye Patients? A Serosurvey at an Eye Hospital in Southern China
pang xiuqin	China:Capital Univ Med Sci, Dept Ophthalmol, Tongren Hosp, Beijing,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	CASE-CONTROL STUDY OF RISK FACTORS FOR NO LIGHT PERCEPTION AFTER OPEN-GLOBE INJURY Eye Injury Vitrectomy Study
pang xiuqin	China:Capital Univ Med Sci, Dept Ophthalmol, Tongren Hosp, Beijing,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	RISK FACTORS, ANATOMICAL, AND VISUAL OUTCOMES OF INJURED EYES WITH PROLIFERATIVE VITREORETINOPATHY Eye Injury Vitrectomy Study
pong jeffrey	China:United Christian Hosp, Dept Ophthalmol, Kowloon, Hong Kong,Peoples R China. 	ACTA OPHTHALMOLOGICA	Effect on corneal endothelial cell count of traumatic microhyphaema and hyphaema
qi f	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Major shifts in corneal transplantation procedures in north China: 5316 eyes over 12 years
qi h	China:Baylor Coll Med, Cullen Eye Inst, Dept Ophthalmol, Ocular Surface Ctr, Houston, TX 77030 USA. Baylor College of Medicine	BRITISH JOURNAL OF OPHTHALMOLOGY	Expression of glial cell-derived neurotrophic factor and its receptor in the stem-cell-containing human limbal epithelium
qi h	China:Baylor Coll Med, Cullen Eye Inst, Dept Ophthalmol, Ocular Surface Ctr, Houston, TX 77030 USA. Baylor College of Medicine	EXPERIMENTAL EYE RESEARCH	Glial cell-derived neurotrophic factor gene delivery enhances survival of human corneal epithelium in culture and the overexpression of GDNF in bioengineered constructs
qi xia	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	alpha A-crystallin in the pathogenesis and intervention of experimental murine corneal neovascularization
qian yifeng	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Clinic study on silicone hydrogel contact lenses used as bandage contact lenses after LASEK surgery
qing guoping	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	JAPANESE JOURNAL OF OPHTHALMOLOGY	Glass fragment in the anterior chamber caused corneal endothelial dysfunction eight years after penetrating trauma
qiu huaiyu	China:Chinese Peoples Liberat Army Gen Hosp, Dept Ophthalmol, Beijing 100853,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Intraocular Foreign Bodies in China: Clinical Characteristics, Prognostic Factors, and Visual Outcomes in 1421 Eyes
qiu weiqiang	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Amniotic membrane extraction solution for ocular chemical burns
qu jia	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou,Peoples R China. Wenzhou Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	A Comparison of Cyclosporine 0.05% Ophthalmic Emulsion Versus Vehicle in Chinese Patients with Moderate to Severe Dry Eye Disease: An Eight-Week, Multicenter, Randomized, Double-Blind, Parallel-Group Trial
qu xiaomei	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Clinic study on silicone hydrogel contact lenses used as bandage contact lenses after LASEK surgery
ren rj	China:Capital Univ Med Sci, Beijing TongRen Hosp, Beijing TongRen Eye Ctr, Beijing Inst Ophthalmol, Beijing,Peoples R China. Capital Medical University	EYE	Review of 1375 enucleations in the TongRen Eye Centre, Beijing
ren shengwei	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	alpha A-crystallin in the pathogenesis and intervention of experimental murine corneal neovascularization
ren shengwei	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Comparison of genome-wide gene expression in suture- and alkali burn-induced murine corneal neovascularization
ren shengwei	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Selection of housekeeping genes for use in quantitative reverse transcription PCR assays on the murine cornea
ruan yanjun	China:Shandong Univ, Qilu Hosp, Dept Rheumatol & Occupat Med, Jinan 250012, Shandong,Peoples R China. Shandong University	CUTANEOUS AND OCULAR TOXICOLOGY	Severe keloids caused by hydrogen cyanide injury: A case report
shen lijun	China:Hosp Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	CASE-CONTROL STUDY OF RISK FACTORS FOR NO LIGHT PERCEPTION AFTER OPEN-GLOBE INJURY Eye Injury Vitrectomy Study
shen lijun	China:Hosp Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	RISK FACTORS, ANATOMICAL, AND VISUAL OUTCOMES OF INJURED EYES WITH PROLIFERATIVE VITREORETINOPATHY Eye Injury Vitrectomy Study
shen ye	China:Zhejiang Univ, Coll Med, Affiliated Hosp 1, Dept Ophthalmol, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Rigid gas-permeable contact lens for visual rehabilitation in aphakia following trauma
shi jingming	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Descemet membrane detachment after trabeculectomy
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Major shifts in corneal transplantation procedures in north China: 5316 eyes over 12 years
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Partial lamellar keratoplasty for peripheral corneal disease using a graft from the glycerin-preserved corneoscleral rim
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Ring-shaped corneoscleral lamellar keratoplasty guided by high-definition optical coherence tomography and Scheimpflug imaging for severe Terrien's marginal corneal degeneration
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Combined penetrating keratoplasty and keratolimbal allograft transplantation in comparison with corneoscleral transplantation in the treatment of severe eye burns
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Primary diseases of corneal perforation in Shandong Province, China: A 10-year retrospective study
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Clinical Features of Immune Rejection After Corneoscleral Transplantation
song zicheng	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	alpha A-crystallin in the pathogenesis and intervention of experimental murine corneal neovascularization
su g	China:Jilin Univ, Hosp 2, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	EYE	Determination of visual prognosis in children with open globe injuries
sun bingji	China:Henan Eye Inst, Zhengzhou 450032, Henan Province,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Implantation of Iakymenko keratoprosthesis in patients with severe ocular injury
sun huimin	China:Naval Gen Hosp, Dept Ophthalmol, Beijing 100048,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	F -heparin modified intraocular lenses in Rhesus monkeys
sun shengtao	China:Henan Eye Inst, Henan Key Lab Keratopathy, Zhengzhou 450003,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Spectrum of fungal keratitis in central China
sun x	China:Beijing TongRen Hosp, Beijing TongRen Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	JOURNAL FRANCAIS D OPHTALMOLOGIE	A traumatic corneoscleral epithelial cyst
sun xinghuai	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	A Comparison of Cyclosporine 0.05% Ophthalmic Emulsion Versus Vehicle in Chinese Patients with Moderate to Severe Dry Eye Disease: An Eight-Week, Multicenter, Randomized, Double-Blind, Parallel-Group Trial
sun xinghuai	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	An In Vivo Confocal Microscopy and Impression Cytology Analysis of Goblet Cells in Patients with Chemical Burns
sun yajie	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Amniotic membrane traps and induces apoptosis of inflammatory cells in ocular surface chemical burn
tang chong	China:Xian Elect Hosp, Dept Ultrasonog, Xian 710032, Shaanxi Provinc,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Data analysis of low dose multislice helical CT scan in orbital trauma
tong jianping	China:Zhejiang Univ, Coll Med, Affiliated Hosp 1, Dept Ophthalmol, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Rigid gas-permeable contact lens for visual rehabilitation in aphakia following trauma
tu yunhai	China:Wenzhou Med Coll, Hosp Eye, Wenzhou,Peoples R China. Wenzhou Medical University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Endoscopic transorbital approach for repair of cerebrospinal fluid leakage following removal of an orbito-cranial foreign body
wang changguan	China:Peking Univ, Ctr Eye, Minist Educ, Key Lab Vis Loss & Restorat,Hosp 3, Beijing 100191,Peoples R China. Peking University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	RISK FACTORS, ANATOMICAL, AND VISUAL OUTCOMES OF INJURED EYES WITH PROLIFERATIVE VITREORETINOPATHY Eye Injury Vitrectomy Study
wang dabo	China:Qingdao Univ, Affiliated Hosp, Coll Med, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Causes and treatments of traumatic secondary glaucoma
wang dabo	China:Qingdao Univ, Affiliated Hosp, Coll Med, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Visual outcome following intraocular foreign bodies: a retrospective review of 5-year clinical experience
wang fang	China:Tongji Univ, Sch Med, Dept Ophthalmol, Shanghai Peoples Hosp 10, Shanghai 200072,Peoples R China. Tongji University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Measurement of the Limbus-Insertion Distance in Adult Strabismus Patients with Anterior Segment Optical Coherence Tomography
