ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
gao na	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	ARCHIVES OF OPHTHALMOLOGY	Deep Lamellar Endothelial Keratoplasty for Iridocorneal Endothelial Syndrome in Phakic Eyes
gao na	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CORNEA	Complex Deep Lamellar Endothelial Keratoplasty for Complex Bullous Keratopathy With Severe Vision Loss
gao na	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Evaluation of different types of lamellar keratoplasty for treatment of peripheral corneal perforation
gao na	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMIC RESEARCH	Descemet's Stripping with Endothelial Keratoplasty for Special Fuchs' Endothelial Dystrophy in Phakic Eyes
gao na	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Cell Delivery with Fixed Amniotic Membrane Reconstructs Corneal Epithelium in Rabbits with Limbal Stem Cell Deficiency
gao qianying	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Traumat Dept, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PRELIMINARY EFFICACY AND SAFETY OF A SILICONE OIL-FILLED FOLDABLE CAPSULAR VITREOUS BODY IN THE TREATMENT OF SEVERE RETINAL DETACHMENT
gao qianying	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Traumat Dept, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Biocompatibility and retinal support of a foldable capsular vitreous body injected with saline or silicone oil implanted in rabbit eyes
gao qianying	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Traumat Dept, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	In Vitro and In Vivo Release Characteristics of Tacrolimus (FK506) from an Episcleral Drug-Delivery Implant
gao qianying	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Traumat Dept, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A Preliminary Study to Treat Severe Endophthalmitis via a Foldable Capsular Vitreous Body with Sustained Levofloxacin Release in Rabbits
gao shaohui	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	PLOS ONE	Early Changes in Ocular Surface and Tear Inflammatory Mediators after Small-Incision Lenticule Extraction and Femtosecond Laser-Assisted Laser In Situ Keratomileusis
gao shaohui	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CURRENT EYE RESEARCH	Effects of Silicone Hydrogel Contact Lenses on Ocular Surface After Sub-Bowman's Keratomileusis
gao shaohui	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CORNEA	Changes in Corneal Biometry and the Associated Histology in Rhesus Monkeys Wearing Orthokeratology Contact Lenses
gao tao	China:Zhejiang Univ, Sch Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	CURRENT EYE RESEARCH	Hydrocortisone Suppression of the Expression of VEGF May Relate to Toll-Like Receptor (TLR) 2 and 4
gao weijuan	China:Chengde Med Univ, Lab Spinal Cord Injury & Rehabil, Chengde 067000, Hebei Province,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Antifungal efficacy of natamycin in experimental fusarium solani keratitis
gao xiaowei	China:Chinese PLA, Hosp 474, Ophthalm Ctr, Urumqi 830013, Xinjiang Uygur,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Mechanism of immune tolerance induced by donor derived immature dendritic cells in rat high-risk corneal transplantation
gao xiaowei	China:Chinese PLA, Hosp 474, Ophthalm Ctr, Urumqi 830013, Xinjiang Uygur,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Experimental study on the treatment of rabbit corneal melting after alkali burn with Collagen cross-linking
gao xinrui	China:Tongji Univ, Sch Med, Shanghai Peoples Hosp 10, Dept Ophthalmol, Shanghai 200072,Peoples R China. Tongji University	JAMA OPHTHALMOLOGY	Pressure-Induced Stromal Keratopathy as a Result of Ocular Trauma After Laser In Situ Keratomileusis
gao xinrui	China:Tongji Univ, Sch Med, Shanghai Peoples Hosp 10, Dept Ophthalmol, Shanghai 200072,Peoples R China. Tongji University	CURRENT EYE RESEARCH	Putative Rabbit Conjunctival Epithelial Stem/Progenitor Cells Preferentially Reside in Palpebral Conjunctiva
gao xinrui	China:Tongji Univ, Sch Med, Shanghai Peoples Hosp 10, Dept Ophthalmol, Shanghai 200072,Peoples R China. Tongji University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Experimental model of Fusarium solani keratitis in rats
gao xinxiao	China:Capital Med Univ, Dept Ophthalmol, Beijing Anzhen Hosp, Beijing 100029,Peoples R China. Capital Medical University	INDIAN JOURNAL OF OPHTHALMOLOGY	Corneal arcus and xanthomas in homozygous familial hypercholesterolemia: First report from China
gao yan	China:Shandong Eye Hosp, Shandong Eye Inst, Shandong Acad Med Sci, Qingdao 266071,Peoples R China. 	CORNEA	Advanced Topography-Guided (OcuLink) Treatment of Irregular Astigmatism After Epikeratophakia in Keratoconus With the WaveLight Excimer Laser
gao yan	China:Shandong Eye Hosp, Shandong Eye Inst, Shandong Acad Med Sci, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	In vitro culture of human fetal corneal endothelial cells
gao yan	China:Shandong Eye Hosp, Shandong Eye Inst, Shandong Acad Med Sci, Qingdao 266071,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Comparison of the therapeutic effects of extracts from Spirulina platensis and amnion membrane on inflammation-associated corneal neovascularization
gao yang	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	BMC OPHTHALMOLOGY	Establishment of the mild, moderate and severe dry eye models using three methods in rabbits
gao yingying	China:Fujian Med Univ, Affiliated Hosp 2, Dept Ophthalmol, Fujian,Peoples R China. Fujian Medical University	CORNEA	Ocular Demodicosis as a Potential Cause of Pediatric Blepharoconjunctivitis
gao zhenya	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Distribution of bone morphogenetic protein receptors in human scleral fibroblasts cultured in vitro and human sclera
gao zhimin	China:NW A&F Univ, Natl Stem Cell Engn Ctr, Shaanxi Branch, Yangling 712100,Peoples R China. Northwest A&F University - China	MOLECULAR VISION	Reconstruction of damaged cornea by autologous transplantation of epidermal adult stem cells
gao ziqing	China:Peking Univ, Hosp 3, Ctr Eye, Key Lab Vis Loss & Restorat,Minist Educ, Beijing 100191,Peoples R China. Peking University	CURRENT EYE RESEARCH	Meibomian Gland Dropout in Patients with Dry Eye Disease in China
ge hongyan	China:Harbin Med Coll, Affiliated Hosp 1, Hosp Eye, Harbin 150001, Heilongjiang,Peoples R China. Harbin Medical University	MOLECULAR VISION	Reduced penetrance in familial Avellino corneal dystrophy associated with TGFBI mutations
ge hongyan	China:Harbin Med Coll, Affiliated Hosp 1, Hosp Eye, Harbin 150001, Heilongjiang,Peoples R China. Harbin Medical University	MOLECULAR VISION	Neutralization of mouse interleukin-17 bioactivity inhibits corneal allograft rejection
ge hongyan	China:Harbin Med Coll, Affiliated Hosp 1, Hosp Eye, Harbin 150001, Heilongjiang,Peoples R China. Harbin Medical University	MOLECULAR VISION	Comparison of the antiangiogenic activity of modified RGDRGD-endostatin to endostatin delivered by gene transfer in vivo rabbit neovascularization model
ge hongyan	China:Harbin Med Coll, Affiliated Hosp 1, Hosp Eye, Harbin 150001, Heilongjiang,Peoples R China. Harbin Medical University	CURRENT EYE RESEARCH	Modified BIGH3 with an RGDRGD motif promotes human corneal epithelial cell adhesion and migration In Vitro
ge hongyan	China:Harbin Med Coll, Affiliated Hosp 1, Hosp Eye, Harbin 150001, Heilongjiang,Peoples R China. Harbin Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	The Effects of Sperminated Pullulans on Cornea Permeability to Puerarin and the Toxicity
ge hongyan	China:Harbin Med Coll, Affiliated Hosp 1, Hosp Eye, Harbin 150001, Heilongjiang,Peoples R China. Harbin Medical University	EXPERIMENTAL EYE RESEARCH	A C-terminal fragment BIGH3 protein with an RGDRGD motif inhibits corneal neovascularization in vitro and in vivo
ge jian	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Tectonic lamellar keratoplasty with acellular corneal stroma in high-risk corneal transplantation
ge jian	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Cell Delivery with Fixed Amniotic Membrane Reconstructs Corneal Epithelium in Rabbits with Limbal Stem Cell Deficiency
ge jian	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CORNEA	Sutureless fixation of amniotic membrane patch as a therapeutic contact lens by using a polymethyl methacrylate ring and fibrin sealant in a rabbit model
ge jian	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Heritability of central corneal thickness in Chinese: The Guangzhou twin eye study
ge jian	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CORNEA	Development and Characterization of Acellular Porcine Corneal Matrix Using Sodium Dodecylsulfate
ge jian	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	Effect of anterior chamber paracentesis on initial treatment of acute angle closure
ge jian	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	EXPERIMENTAL EYE RESEARCH	Sustained elevation of extracellular ATP in aqueous humor from humans with primary chronic angle-closure glaucoma
ge jian	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A rabbit dry eye model induced by topical medication of a preservative benzalkonium chloride
ge jian	China:Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou, Guangdong,Peoples R China. 	OPTOMETRY AND VISION SCIENCE	Adverse Events during 2 Years of Daily Wear of Silicone Hydrogels in Children
ge jinying	China:Harbin Med Coll, Lab Med Genet, Harbin 150001,Peoples R China. Harbin Medical University	MOLECULAR VISION	Comparison of the antiangiogenic activity of modified RGDRGD-endostatin to endostatin delivered by gene transfer in vivo rabbit neovascularization model
ge lili	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	-SCIENCE AND CLINICAL PRACTICE	Automatic Segmentation of the Central Epithelium Imaged With Three Optical Coherence Tomography Devices
ge lili	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	The Role of Axial Resolution of Optical Coherence Tomography on the Measurement of Corneal and Epithelial Thicknesses
ge ling	China:Shanghai Eye Dis Prevent & Treatment Ctr, Dept Ocular Surface Dis, Shanghai,Peoples R China. 	ACTA OPHTHALMOLOGICA	Comparison on the vision-related quality of life between outpatients and general population with dry eye syndrome
ge yirui	China:Nanjing Univ, Jinling Hosp, Sch Med, Dept Ophthalmol, Nanjing 210002, Jiangsu,Peoples R China. Nanjing University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Femtosecond laser-assisted deep anterior lamellar keratoplasty for keratoconus and keratectasia
ge yuan	China:Ocean Univ China, Coll Marine Life Sci, Key Lab Corneal Tissue Engn, Qingdao 266003, Shandong,Peoples R China. Ocean University of China	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Cytotoxic effects of betaxolol on healthy corneal endothelial cells both in vitro and in vivo
ge yuan	China:Ocean Univ China, Coll Marine Life Sci, Key Lab Corneal Tissue Engn, Qingdao 266003, Shandong,Peoples R China. Ocean University of China	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Establishment of an untransfected human corneal stromal cell line and its biocompatibility to acellular porcine corneal stroma
geng zhixin	China:Xiamen Univ, Affiliated Xiamen Eye Ctr, Coll Med, Xiamen 361005, Fujian,Peoples R China. Xiamen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Changes in Corneal Epithelial Layer Inflammatory Cells in Aqueous Tear-Deficient Dry Eye
geng zhixin	China:Xiamen Univ, Affiliated Xiamen Eye Ctr, Coll Med, Xiamen 361005, Fujian,Peoples R China. Xiamen University	PLOS ONE	Air Exposure Induced Characteristics of Dry Eye in Conjunctival Tissue Culture
girkin christophera	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Profile and Predictors of Normal Ganglion Cell-Inner Plexiform Layer Thickness Measured with Frequency-Domain Optical Coherence Tomography
gong huaqing	China:Shandong Acad Med Sci, Shandong Eye Inst, Qingdao Eye Hosp, Qingdao 266071, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Lymphocyte infiltration and activation in iris-ciliary body and anterior chamber of mice in corneal allograft rejection
gong huaqing	China:Shandong Acad Med Sci, Shandong Eye Inst, Qingdao Eye Hosp, Qingdao 266071, Shandong,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	Differential response of lens crystallins and corneal crystallins in degenerative corneas
gong huaqing	China:Shandong Acad Med Sci, Shandong Eye Inst, Qingdao Eye Hosp, Qingdao 266071, Shandong,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Safety Evaluation of Intracameral and Subconjunctival Injection of a Novel Mucoadhesive Polysaccharide Isolated from Bletilla striata in Rabbit Eye
gong huaqing	China:Shandong Acad Med Sci, Shandong Eye Inst, Qingdao Eye Hosp, Qingdao 266071, Shandong,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Establishment of a murine model of chronic corneal allograft dysfunction
gong huaqing	China:Shandong Acad Med Sci, Shandong Eye Inst, Qingdao Eye Hosp, Qingdao 266071, Shandong,Peoples R China. 	MOLECULAR VISION	Molecular evidence of senescence in corneal endothelial cells of senescence-accelerated mice
gong l	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Sch Shanghai Med, Shanghai 200031,Peoples R China. Fudan University	EYE	Paediatric bacterial keratitis cases in Shanghai: microbiological profile, antibiotic susceptibility and visual outcomes
gong l	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Sch Shanghai Med, Shanghai 200031,Peoples R China. Fudan University	CURRENT EYE RESEARCH	Anxiety and Depression in Patients with Dry Eye Syndrome
gong l	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Sch Shanghai Med, Shanghai 200031,Peoples R China. Fudan University	ACTA OPHTHALMOLOGICA	Comparison on the vision-related quality of life between outpatients and general population with dry eye syndrome
gong l	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Sch Shanghai Med, Shanghai 200031,Peoples R China. Fudan University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	A Comparison of Cyclosporine 0.05% Ophthalmic Emulsion Versus Vehicle in Chinese Patients with Moderate to Severe Dry Eye Disease: An Eight-Week, Multicenter, Randomized, Double-Blind, Parallel-Group Trial
gong l	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Sch Shanghai Med, Shanghai 200031,Peoples R China. Fudan University	ACTA OPHTHALMOLOGICA	The diagnostic significance of Fourier-domain optical coherence tomography in Sjogren syndrome, aqueous tear deficiency and lipid tear deficiency patients
gong l	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Sch Shanghai Med, Shanghai 200031,Peoples R China. Fudan University	CORNEA	Age-related Variations of Human Tear Meniscus and Diagnosis of Dry Eye With Fourier-domain Anterior Segment Optical Coherence Tomography
gong lan	China:Fudan Univ, EYE & ENT Hosp, Minist Hlth, Dept Ophthalmol,Key Lab Myopia, Shanghai 200433,Peoples R China. Fudan University	JOURNAL OF REFRACTIVE SURGERY	Comparison of Corneal Sensation Between Small Incision Lenticule Extraction (SMILE) and Femtosecond Laser-Assisted LASIK for Myopia
gong lingmin	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 2, Harbin 150086, Heilongjiang,Peoples R China. Harbin Medical University	MOLECULAR VISION	A mutation in the UBIAD1 gene in a Han Chinese family with Schnyder corneal dystrophy
gong nianqiao	China:Huazhong Univ Sci & Technol, Tongji Med Coll, Tongji Hosp, Inst Organ Transplantat, Wuhan 430030,Peoples R China. Huazhong University of Science & Technology	MOLECULAR VISION	Corneal allograft endothelial cell replacement represents a reparative response to transplant injury
gong qinghua	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	An R124C mutation in TGFBI caused lattice corneal dystrophy type I with a variable phenotype in three Chinese families
gong weifen	China:Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Corneal Biomechanics, Refractive Error, and Axial Length in Chinese Primary School Children
gong xiangming	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CORNEA	Differences Between Overnight and Long-term Wear of Orthokeratology Contact Lenses in Corneal Contour, Thickness, and Cell Density
gong xianhui	China:Hosp Eye, Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Visual and optical performance of eyes with different corneal spherical aberration implanted with aspheric intraocular lens
gong yubo	China:Chinese Peoples Liberat Army Gen Hosp, Dept Ophthalmol, Beijing 100853,Peoples R China. 	MOLECULAR VISION	Topical application of FTY720 and cyclosporin A prolong corneal graft survival in mice
gou zhongru	China:Zhejiang Univ, Zhejiang California Int NanoSyst Inst, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	MOLECULAR VISION	17-beta-estradiol inhibits hyperosmolarity-induced proinflammatory cytokine elevation via the p38 MAPK pathway in human corneal epithelial cells
gu hongwei	China:Nantong Univ, Affiliated Hosp, Dept Ophthalmol, Nantong 226001, Jiangsu Prov,Peoples R China. Nantong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effects of amniotic membrane transplantation on cytokines expression in chemically burned rat corneas
gu hongwei	China:Nantong Univ, Affiliated Hosp, Dept Ophthalmol, Nantong 226001, Jiangsu Prov,Peoples R China. Nantong University	OPHTHALMIC RESEARCH	Effects of Bone Marrow Mesenchymal Stem Cells on Cell Proliferation and Growth Factor Expression of Limbal Epithelial Cells in vitro
gu pingqing	China:Nanjing Matern & Child Hlth Care Hosp, Clin Lab, Nanjing,Peoples R China. 	MOLECULAR VISION	The role of eIF5A in epidermal growth factor-induced proliferation of corneal epithelial cell association with PI3-k/Akt activation
gu qing	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Peoples Hosp 1, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	ACTA OPHTHALMOLOGICA	Inhibition of ocular neovascularization by a novel peptide derived from human placenta growth factor-1
gu qing	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Peoples Hosp 1, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	CURRENT EYE RESEARCH	A SiRNA Targeting Vascular Endothelial Growth Factor-A Inhibiting Experimental Corneal Neovascularization
gu qisheng	China:Shanghai Qisheng Co, Inst Biomat Technol, Shanghai 201106,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Feasibility study of chitosan as intravitreous tamponade material
gu shaofeng	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang,Peoples R China. China Medical University	MOLECULAR VISION	Differentiation of rabbit bone marrow mesenchymal stem cells into corneal epithelial cells in vivo and ex vivo
gu xiaoqiong	China:Sun Yat Sen Univ, Zhongshan Sch Med, Dept Biochem, Guangzhou 510080, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	The Artemisinin Derivative Artesunate Inhibits Corneal Neovascularization by Inducing ROS-Dependent Apoptosis in Vascular Endothelial Cells
gu yangshun	China:Zhejiang Univ, Dept Ophthalmol, Affiliated Hosp 1, Coll Med, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	OPHTHALMOLOGY	Ultrasound Biomicroscopy of Anterior Segment Accommodative Changes with Posterior Chamber Phakic Intraocular Lens in High Myopia
gu yangshun	China:Zhejiang Univ, Dept Ophthalmol, Affiliated Hosp 1, Coll Med, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Indications and outcomes of penetrating keratoplasty in a tertiary hospital in the developing world
gu yangshun	China:Zhejiang Univ, Dept Ophthalmol, Affiliated Hosp 1, Coll Med, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	MOLECULAR VISION	Investigation of the influence of Arg555Trp and Thr538Pro TGFBI mutations on C-terminal cleavage and cell endoplasmic reticulum stress
gu zhensheng	China:Shanghai Jiao Tong Univ, Coll Med, Xinhua Hosp, Dept Ophthalmol, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	MOLECULAR VISION	An Arg124His mutation in TGFBI associated to Avellino corneal dystrophy in a Chinese pedigree
guan huaijin	China:Nantong Univ, Dept Ophthalmol, Affiliated Hosp, Nantong 226001,Peoples R China. Nantong University	OPHTHALMIC RESEARCH	Effects of Bone Marrow Mesenchymal Stem Cells on Cell Proliferation and Growth Factor Expression of Limbal Epithelial Cells in vitro
guan linan	China:Harbin Med Coll, Clin Med Sch 1, Dept Ophthalmol, Harbin,Peoples R China. Harbin Medical University	ACTA OPHTHALMOLOGICA	A comparison of the effectiveness between amniotic membrane homogenate and transplanted amniotic membrane in healing corneal damage in a rabbit model
guan linan	China:Harbin Med Coll, Clin Med Sch 1, Dept Ophthalmol, Harbin,Peoples R China. Harbin Medical University	EXPERIMENTAL EYE RESEARCH	A C-terminal fragment BIGH3 protein with an RGDRGD motif inhibits corneal neovascularization in vitro and in vivo
guan ming	China:Fudan Univ, Hua Shan Hosp, Lab Ctr, Shanghai 200433,Peoples R China. Fudan University	CORNEA	Inhibition of Chemical Cautery-Induced Corneal Neovascularization by Topical Pigment Epithelium-Derived Factor Eyedrops
guan zhao	China:Fudan Univ, Zhongshan Hosp, Dept Ophthalmol, Shanghai 200032,Peoples R China. Fudan University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Analysis of corneal astigmatism in cataract surgery candidates at a teaching hospital in Shanghai, China
guggenheim jeremya	China:Hong Kong Polytech Univ, Sch Optometry, Ctr Myopia Res, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Coordinated Genetic Scaling of the Human Eye: Shared Determination of Axial Eye Length and Corneal Curvature
guggenheim jeremya	China:Hong Kong Polytech Univ, Sch Optometry, Ctr Myopia Res, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	MOLECULAR VISION	A genome-wide association study for corneal curvature identifies the platelet-derived growth factor receptor alpha gene as a quantitative trait locus for eye size in white Europeans
guo chuanlong	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	In Vitro and In Vivo Effectiveness Evaluation of Balofloxacin in Experimental Staphylococcus aureus Keratitis
guo haike	China:Guangdong Acad Med Sci, Guangdong Eye Inst, Guangzhou, Guangdong,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Corneal power estimation for intraocular lens power calculation after corneal laser refractive surgery in Chinese eyes
guo haike	China:Guangdong Acad Med Sci, Guangdong Eye Inst, Guangzhou, Guangdong,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Pseudophakic eye with obliquely crossed piggyback toric intraocular lenses
guo haike	China:Guangdong Acad Med Sci, Guangdong Eye Inst, Guangzhou, Guangdong,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Comparison of ray-tracing method and thin-lens formula in intraocular lens power calculations
guo haike	China:Guangdong Acad Med Sci, Guangdong Eye Inst, Guangzhou, Guangdong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Analysis of changes in crystalline lens thickness and its refractive power after laser in situ keratomileusis
guo hao	China:Hosp Liberat Army, Dept Ophthalmol, Zhengzhou 450042, Henan Province,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Impact of Lycium Barbarum Polysaccharide and Danshensu on vascular endothelial growth factor in the process of retinal neovascularization of rabbit
guo hongyang	China:Changchun Univ Hosp Chinese Med, Dept Ophthalmol, Changchun 130021, Jilin,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Preliminary findings of immunological characteristics in primary human corneal endothelial cells
guo hui	China:Wayne State Univ, Sch Med, Kresge Eye Inst, Dept Ophthalmol, Detroit, MI 48201 USA. Wayne State University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Topical Flagellin-Mediated Innate Defense against Candida albicans Keratitis
